stack,trend_lift,weighted_score,epoch2_count,baseline_count,epoch2_share,baseline_share
DARK_TRAUMA + MAFIA_CARTEL_CRIME,0.19,0.26,3,1189,0.1216,0.6539
ANGSTY_GRIEF + DARK_TRAUMA,0.12,0.25,7,4358,0.2837,2.3966
CELEBRITY + NEW_ADULT,0.13,0.25,6,3494,0.2432,1.9215
ACADEMIA_SCHOOL + FOUND_FAMILY,0.16,0.25,4,1881,0.1621,1.0344
ACTION_ADVENTURE + CONTEMPORARY_ROMANCE,0.09,0.24,12,9559,0.4864,5.2568
SCI_FI_ROMANCE + VAMPIRES,0.17,0.24,3,1303,0.1216,0.7166
CONTEMPORARY_ROMANCE + INSPIRATIONAL_CHRISTIAN,0.12,0.24,6,3574,0.2432,1.9655
ACTION_ADVENTURE + DARK_TRAUMA,0.13,0.24,5,2780,0.2027,1.5288
CONTEMPORARY_ROMANCE + SPORTS_MMA_FIGHTING,0.17,0.23,3,1335,0.1216,0.7342
DARK_TRAUMA + SHIFTER_WEREWOLF,0.17,0.23,3,1337,0.1216,0.7353
ROM_COM + YOUNG_ADULT,0.11,0.23,7,4674,0.2837,2.5704
CONTEMPORARY_ROMANCE + PARANORMAL_ROMANCE,0.09,0.22,11,9057,0.4459,4.9808
DARK_TRAUMA + NEW_ADULT,0.09,0.22,10,7914,0.4054,4.3522
DEMONS_ANGELS + HIGH_STEAM,0.11,0.22,6,3916,0.2432,2.1536
MYSTERY_THRILLER_SUSPENSE + VAMPIRES,0.11,0.21,6,4095,0.2432,2.252
ACTION_ADVENTURE + FANTASY_ROMANCE,0.08,0.2,10,8970,0.4054,4.9329
ANGSTY_GRIEF + MYSTERY_THRILLER_SUSPENSE,0.1,0.2,6,4260,0.2432,2.3427
FOUND_FAMILY + PARANORMAL_ROMANCE,0.12,0.19,4,2557,0.1621,1.4062
ACTION_ADVENTURE + HISTORICAL_ROMANCE,0.1,0.18,5,3754,0.2027,2.0645
FOUND_FAMILY + HIGH_STEAM,0.08,0.18,9,8554,0.3648,4.7042
ACTION_ADVENTURE + SCI_FI_ROMANCE,0.1,0.18,5,3690,0.2027,2.0293
HIGH_STEAM + SHIFTER_WEREWOLF,0.08,0.17,8,7690,0.3243,4.229
PARANORMAL_ROMANCE + TIME_TRAVEL,0.12,0.17,3,1775,0.1216,0.9761
ACTION_ADVENTURE + WITCHES_MAGIC,0.08,0.15,5,4548,0.2027,2.5011
HIGH_STEAM + HISTORICAL_ROMANCE,0.07,0.14,6,6193,0.2432,3.4058
MONSTER_ALIEN + SCI_FI_ROMANCE,0.1,0.14,3,2212,0.1216,1.2165
ANGSTY_GRIEF + HIGH_STEAM,0.07,0.14,6,6342,0.2432,3.4877
