stack,trend_lift,weighted_score,epoch3_count,baseline_count,epoch3_share,baseline_share
CONTEMPORARY_ROMANCE + NEURODIVERGENT_DISABILITY,1.2,2.87,10,2044,1.3459,1.1241
FRIENDS_TO_LOVERS + NEURODIVERGENT_DISABILITY,1.46,2.84,6,1007,0.8075,0.5538
FORBIDDEN_TABOO + FRIENDS_TO_LOVERS,1.76,2.83,4,556,0.5384,0.3058
CONTEMPORARY_ROMANCE + MARRIAGE_OF_CONVENIENCE,1.21,2.8,9,1813,1.2113,0.997
FANTASY_ROMANCE + REVERSE_HAREM_POLY,1.16,2.77,10,2116,1.3459,1.1637
ROM_COM + WORKPLACE,1.54,2.76,5,794,0.6729,0.4367
BROTHERS_BEST_FRIEND + CONTEMPORARY_ROMANCE,1.96,2.72,3,374,0.4038,0.2057
FORBIDDEN_TABOO + FOUND_FAMILY,1.94,2.69,3,378,0.4038,0.2079
HIGH_STEAM + MONSTER_ALIEN,1.21,2.65,8,1623,1.0767,0.8925
SLOW_BURN + YOUNG_ADULT,1.86,2.58,3,394,0.4038,0.2167
PARANORMAL_ROMANCE + VAMPIRES,0.74,2.56,31,10284,4.1723,5.6556
MARRIAGE_OF_CONVENIENCE + ROM_COM,1.59,2.55,4,617,0.5384,0.3393
DEMONS_ANGELS + PARANORMAL_ROMANCE,0.77,2.48,24,7621,3.2301,4.1911
ENEMIES_TO_LOVERS + REP_QUEER_GENERAL,1.17,2.43,7,1468,0.9421,0.8073
DARK_ROMANCE + FOUND_FAMILY,1.24,2.41,6,1184,0.8075,0.6511
PARANORMAL_ROMANCE + REVERSE_HAREM_POLY,1.01,2.41,10,2434,1.3459,1.3385
FANTASY_ROMANCE + REP_MM,0.87,2.41,15,4225,2.0188,2.3235
DARK_ROMANCE + MAFIA_CARTEL_CRIME,1.09,2.4,8,1789,1.0767,0.9838
HOLIDAY + REP_QUEER_GENERAL,1.49,2.39,4,659,0.5384,0.3624
BILLIONAIRE + FRIENDS_TO_LOVERS,1.32,2.36,5,929,0.6729,0.5109
DRAGONS + SHIFTER_WEREWOLF,1.13,2.35,7,1515,0.9421,0.8332
CONTEMPORARY_ROMANCE + FORBIDDEN_TABOO,0.96,2.3,10,2546,1.3459,1.4001
BILLIONAIRE + MARRIAGE_OF_CONVENIENCE,1.66,2.3,3,443,0.4038,0.2436
HORROR + PARANORMAL_ROMANCE,0.99,2.28,9,2222,1.2113,1.222
FANTASY_ROMANCE + FRIENDS_TO_LOVERS,1.17,2.28,6,1256,0.8075,0.6907
DARK_ROMANCE + MYSTERY_THRILLER_SUSPENSE,0.72,2.24,22,7522,2.961,4.1366
FRIENDS_TO_LOVERS + WITCHES_MAGIC,1.61,2.23,3,456,0.4038,0.2508
CONTEMPORARY_ROMANCE + INTERRACIAL_MULTICULTURAL,1.37,2.21,4,714,0.5384,0.3927
CONTEMPORARY_ROMANCE + WITCHES_MAGIC,0.86,2.2,12,3427,1.6151,1.8846
FOUND_FAMILY + REVERSE_HAREM_POLY,1.59,2.2,3,462,0.4038,0.2541
DARK_ROMANCE + DEMONS_ANGELS,1.37,2.2,4,717,0.5384,0.3943
DEMONS_ANGELS + REP_QUEER_GENERAL,1.59,2.2,3,463,0.4038,0.2546
FRIENDS_TO_LOVERS + PARANORMAL_ROMANCE,1.11,2.17,6,1317,0.8075,0.7243
DARK_ROMANCE + SECOND_CHANCE,1.21,2.17,5,1009,0.6729,0.5549
CONTEMPORARY_ROMANCE + FOUND_FAMILY,0.56,2.14,46,20277,6.1911,11.1511
ENEMIES_TO_LOVERS + HISTORICAL_ROMANCE,1.0,2.07,7,1719,0.9421,0.9453
CONTEMPORARY_ROMANCE + TIME_TRAVEL,1.28,2.06,4,764,0.5384,0.4202
FOUND_FAMILY + SECOND_CHANCE,0.85,2.03,10,2886,1.3459,1.5871
ENEMIES_TO_LOVERS + HIGH_STEAM,0.75,2.03,14,4575,1.8843,2.516
BILLIONAIRE + FORBIDDEN_TABOO,1.41,1.96,3,519,0.4038,0.2854
DEMONS_ANGELS + YOUNG_ADULT,1.0,1.95,6,1468,0.8075,0.8073
BILLIONAIRE + ROM_COM,1.09,1.95,5,1122,0.6729,0.617
FANTASY_ROMANCE + TIME_TRAVEL,0.92,1.92,7,1859,0.9421,1.0223
HISTORICAL_ROMANCE + REP_MM,1.01,1.82,5,1206,0.6729,0.6632
HIGH_STEAM + HOLIDAY,0.92,1.79,6,1593,0.8075,0.876
REVERSE_HAREM_POLY + VAMPIRES,1.21,1.68,3,607,0.4038,0.3338
PARANORMAL_ROMANCE + SCI_FI_ROMANCE,0.58,1.68,17,7159,2.288,3.937
REP_MM + YOUNG_ADULT,0.94,1.68,5,1308,0.6729,0.7193
HORROR + YOUNG_ADULT,1.21,1.67,3,608,0.4038,0.3344
DARK_ROMANCE + HIGH_STEAM,0.54,1.67,21,9493,2.8264,5.2206
FRIENDS_TO_LOVERS + HOLIDAY,1.17,1.62,3,627,0.4038,0.3448
FRIENDS_TO_LOVERS + REP_QUEER_GENERAL,0.67,1.61,10,3656,1.3459,2.0106
REVERSE_HAREM_POLY + SHIFTER_WEREWOLF,0.89,1.59,5,1376,0.6729,0.7567
FRIENDS_TO_LOVERS + MYSTERY_THRILLER_SUSPENSE,0.68,1.58,9,3219,1.2113,1.7702
FANTASY_ROMANCE + SECOND_CHANCE,1.14,1.58,3,645,0.4038,0.3547
CONTEMPORARY_ROMANCE + REP_QUEER_GENERAL,0.56,1.56,15,6517,2.0188,3.5839
REVERSE_HAREM_POLY + WITCHES_MAGIC,1.12,1.55,3,655,0.4038,0.3602
HIGH_STEAM + WORKPLACE,0.79,1.53,6,1870,0.8075,1.0284
FAE_ELVES + VAMPIRES,0.85,1.52,5,1447,0.6729,0.7958
HIGH_STEAM + SMALL_TOWN,0.78,1.52,6,1879,0.8075,1.0333
FANTASY_ROMANCE + SHIFTER_WEREWOLF,0.47,1.45,21,10983,2.8264,6.04
REP_MM + REP_QUEER_GENERAL,0.49,1.45,18,8920,2.4226,4.9054
BILLIONAIRE + CONTEMPORARY_ROMANCE,0.5,1.44,17,8329,2.288,4.5804
ROM_COM + WITCHES_MAGIC,0.74,1.44,6,1981,0.8075,1.0894
FANTASY_ROMANCE + FOUND_FAMILY,0.69,1.43,7,2490,0.9421,1.3693
DRAGONS + VAMPIRES,1.01,1.41,3,724,0.4038,0.3982
BILLIONAIRE + WORKPLACE,0.88,1.41,4,1114,0.5384,0.6126
HISTORICAL_ROMANCE + INSPIRATIONAL_CHRISTIAN,0.77,1.39,5,1582,0.6729,0.87
PARANORMAL_ROMANCE + REP_MM,0.56,1.34,10,4365,1.3459,2.4005
DARK_ROMANCE + SHIFTER_WEREWOLF,0.95,1.32,3,772,0.4038,0.4246
FANTASY_ROMANCE + ROM_COM,0.57,1.31,9,3871,1.2113,2.1288
CONTEMPORARY_ROMANCE + ROYALTY,0.82,1.31,4,1199,0.5384,0.6594
FRIENDS_TO_LOVERS + REVERSE_HAREM_POLY,0.94,1.3,3,780,0.4038,0.429
SHIFTER_WEREWOLF + WITCHES_MAGIC,0.5,1.29,12,5860,1.6151,3.2226
ANGSTY_GRIEF + ENEMIES_TO_LOVERS,0.92,1.27,3,802,0.4038,0.441
SCI_FI_ROMANCE + WITCHES_MAGIC,0.65,1.27,6,2253,0.8075,1.239
HORROR + WITCHES_MAGIC,0.9,1.25,3,812,0.4038,0.4465
VAMPIRES + WITCHES_MAGIC,0.5,1.24,11,5381,1.4805,2.9592
PARANORMAL_ROMANCE + SHIFTER_WEREWOLF,0.4,1.23,21,12961,2.8264,7.1277
DARK_ROMANCE + HISTORICAL_ROMANCE,0.77,1.23,4,1279,0.5384,0.7034
CONTEMPORARY_ROMANCE + ROAD_TRIP,0.77,1.23,4,1276,0.5384,0.7017
BILLIONAIRE + FOUND_FAMILY,0.75,1.2,4,1311,0.5384,0.721
REP_MM + WITCHES_MAGIC,0.73,1.18,4,1340,0.5384,0.7369
NEW_ADULT + SLOW_BURN,0.83,1.15,3,886,0.4038,0.4872
REP_QUEER_GENERAL + SPORTS_GENERAL,0.83,1.15,3,887,0.4038,0.4878
FANTASY_ROMANCE + HIGH_STEAM,0.36,1.13,22,14881,2.961,8.1836
FAE_ELVES + HIGH_STEAM,0.68,1.1,4,1430,0.5384,0.7864
CONTEMPORARY_ROMANCE + FANTASY_ROMANCE,0.4,1.1,14,8466,1.8843,4.6558
CONTEMPORARY_ROMANCE + DARK_ROMANCE,0.39,1.05,14,8808,1.8843,4.8438
HIGH_STEAM + SPORTS_GENERAL,0.51,1.05,7,3380,0.9421,1.8588
FOUND_FAMILY + MYSTERY_THRILLER_SUSPENSE,0.4,1.0,11,6668,1.4805,3.667
HIGH_STEAM + PARANORMAL_ROMANCE,0.32,0.99,21,15997,2.8264,8.7973
FOUND_FAMILY + MARRIAGE_OF_CONVENIENCE,0.7,0.98,3,1043,0.4038,0.5736
CELEBRITY + ROM_COM,0.71,0.98,3,1034,0.4038,0.5686
MILITARY_WAR + MYSTERY_THRILLER_SUSPENSE,0.7,0.97,3,1051,0.4038,0.578
ACTION_ADVENTURE + YOUNG_ADULT,0.5,0.97,6,2934,0.8075,1.6135
DARK_ROMANCE + SCI_FI_ROMANCE,0.69,0.96,3,1062,0.4038,0.584
PARANORMAL_ROMANCE + ROM_COM,0.46,0.96,7,3721,0.9421,2.0463
MAFIA_CARTEL_CRIME + MYSTERY_THRILLER_SUSPENSE,0.52,0.94,5,2333,0.6729,1.283
ACADEMIA_SCHOOL + YOUNG_ADULT,0.41,0.93,9,5430,1.2113,2.9862
ACADEMIA_SCHOOL + SPORTS_GENERAL,0.57,0.92,4,1706,0.5384,0.9382
HISTORICAL_ROMANCE + MYSTERY_THRILLER_SUSPENSE,0.4,0.92,9,5540,1.2113,3.0467
GHOSTS + WITCHES_MAGIC,0.65,0.9,3,1134,0.4038,0.6236
MYSTERY_THRILLER_SUSPENSE + YOUNG_ADULT,0.4,0.88,8,4864,1.0767,2.6749
FOUND_FAMILY + REP_MM,0.44,0.86,6,3327,0.8075,1.8296
FOUND_FAMILY + PARANORMAL_ROMANCE,0.48,0.86,5,2557,0.6729,1.4062
ROM_COM + SPORTS_GENERAL,0.6,0.84,3,1217,0.4038,0.6693
CONTEMPORARY_ROMANCE + MYSTERY_THRILLER_SUSPENSE,0.25,0.83,27,26480,3.6339,14.5623
REP_MM + REVERSE_HAREM_POLY,0.6,0.83,3,1221,0.4038,0.6715
MYSTERY_THRILLER_SUSPENSE + SECOND_CHANCE,0.46,0.83,5,2656,0.6729,1.4606
CONTEMPORARY_ROMANCE + HIGH_STEAM,0.22,0.79,36,40223,4.8452,22.1201
ENEMIES_TO_LOVERS + NEW_ADULT,0.44,0.78,5,2800,0.6729,1.5398
HIGH_STEAM + MARRIAGE_OF_CONVENIENCE,0.56,0.77,3,1315,0.4038,0.7232
HIGH_STEAM + MAFIA_CARTEL_CRIME,0.47,0.76,4,2072,0.5384,1.1395
ACTION_ADVENTURE + FANTASY_ROMANCE,0.3,0.75,11,8970,1.4805,4.9329
FANTASY_ROMANCE + MYSTERY_THRILLER_SUSPENSE,0.28,0.73,13,11554,1.7497,6.354
CONTEMPORARY_ROMANCE + YOUNG_ADULT,0.25,0.7,16,15955,2.1534,8.7742
FRIENDS_TO_LOVERS + HIGH_STEAM,0.28,0.7,11,9607,1.4805,5.2832
DEMONS_ANGELS + WITCHES_MAGIC,0.34,0.7,7,5085,0.9421,2.7964
CONTEMPORARY_ROMANCE + MILITARY_WAR,0.48,0.67,3,1521,0.4038,0.8365
MYSTERY_THRILLER_SUSPENSE + WITCHES_MAGIC,0.32,0.67,7,5327,0.9421,2.9295
CONTEMPORARY_ROMANCE + MAFIA_CARTEL_CRIME,0.42,0.67,4,2350,0.5384,1.2924
SECOND_CHANCE + YOUNG_ADULT,0.47,0.65,3,1569,0.4038,0.8629
HIGH_STEAM + ROM_COM,0.28,0.65,9,7838,1.2113,4.3104
FAE_ELVES + SHIFTER_WEREWOLF,0.46,0.64,3,1594,0.4038,0.8766
GHOSTS + PARANORMAL_ROMANCE,0.39,0.63,4,2496,0.5384,1.3726
ANGSTY_GRIEF + FRIENDS_TO_LOVERS,0.35,0.63,5,3484,0.6729,1.916
CONTEMPORARY_ROMANCE + INSPIRATIONAL_CHRISTIAN,0.34,0.61,5,3574,0.6729,1.9655
FANTASY_ROMANCE + ROYALTY,0.43,0.6,3,1691,0.4038,0.9299
CELEBRITY + CONTEMPORARY_ROMANCE,0.3,0.59,6,4869,0.8075,2.6776
DEMONS_ANGELS + VAMPIRES,0.33,0.58,5,3754,0.6729,2.0645
HIGH_STEAM + SECOND_CHANCE,0.3,0.58,6,4888,0.8075,2.6881
HORROR + MYSTERY_THRILLER_SUSPENSE,0.4,0.56,3,1832,0.4038,1.0075
HIGH_STEAM + REVERSE_HAREM_POLY,0.26,0.54,7,6594,0.9421,3.6263
FORBIDDEN_TABOO + HIGH_STEAM,0.33,0.53,4,2970,0.5384,1.6333
BILLIONAIRE + DARK_ROMANCE,0.37,0.52,3,1969,0.4038,1.0828
FRIENDS_TO_LOVERS + YOUNG_ADULT,0.28,0.5,5,4355,0.6729,2.395
FANTASY_ROMANCE + GHOSTS,0.36,0.49,3,2068,0.4038,1.1373
CONTEMPORARY_ROMANCE + PARANORMAL_ROMANCE,0.22,0.47,8,9057,1.0767,4.9808
FOUND_FAMILY + REP_QUEER_GENERAL,0.28,0.46,4,3457,0.5384,1.9011
DARK_ROMANCE + YOUNG_ADULT,0.33,0.45,3,2245,0.4038,1.2346
SHIFTER_WEREWOLF + VAMPIRES,0.24,0.44,5,5011,0.6729,2.7557
FOUND_FAMILY + ROM_COM,0.22,0.44,6,6541,0.8075,3.5971
MYSTERY_THRILLER_SUSPENSE + SCI_FI_ROMANCE,0.27,0.43,4,3649,0.5384,2.0067
FOUND_FAMILY + HIGH_STEAM,0.2,0.42,7,8554,0.9421,4.7042
FRIENDS_TO_LOVERS + REP_MM,0.26,0.42,4,3763,0.5384,2.0694
FOUND_FAMILY + YOUNG_ADULT,0.21,0.4,6,7091,0.8075,3.8996
ANGSTY_GRIEF + SECOND_CHANCE,0.29,0.4,3,2522,0.4038,1.3869
NEW_ADULT + SPORTS_GENERAL,0.25,0.4,4,3950,0.5384,2.1723
NEW_ADULT + PARANORMAL_ROMANCE,0.24,0.39,4,4026,0.5384,2.214
FANTASY_ROMANCE + NEW_ADULT,0.24,0.39,4,4029,0.5384,2.2157
ANGSTY_GRIEF + CONTEMPORARY_ROMANCE,0.17,0.38,8,11240,1.0767,6.1813
ACADEMIA_SCHOOL + CONTEMPORARY_ROMANCE,0.19,0.37,6,7647,0.8075,4.2054
ROM_COM + YOUNG_ADULT,0.21,0.34,4,4674,0.5384,2.5704
MYSTERY_THRILLER_SUSPENSE + ROM_COM,0.21,0.33,4,4715,0.5384,2.593
BILLIONAIRE + HIGH_STEAM,0.18,0.33,5,6733,0.6729,3.7027
ACTION_ADVENTURE + PARANORMAL_ROMANCE,0.17,0.33,6,8581,0.8075,4.719
MYSTERY_THRILLER_SUSPENSE + REP_QUEER_GENERAL,0.21,0.29,3,3509,0.4038,1.9297
MYSTERY_THRILLER_SUSPENSE + PARANORMAL_ROMANCE,0.14,0.29,7,12332,0.9421,6.7818
HIGH_STEAM + MYSTERY_THRILLER_SUSPENSE,0.12,0.28,9,17854,1.2113,9.8186
ACTION_ADVENTURE + SCI_FI_ROMANCE,0.2,0.28,3,3690,0.4038,2.0293
ACTION_ADVENTURE + HISTORICAL_ROMANCE,0.2,0.27,3,3754,0.4038,2.0645
HIGH_STEAM + VAMPIRES,0.17,0.27,4,5866,0.5384,3.2259
DARK_ROMANCE + DARK_TRAUMA,0.16,0.26,4,6170,0.5384,3.3931
DEMONS_ANGELS + HIGH_STEAM,0.19,0.26,3,3916,0.4038,2.1536
HIGH_STEAM + WITCHES_MAGIC,0.16,0.25,4,6257,0.5384,3.441
CONTEMPORARY_ROMANCE + REP_MM,0.16,0.25,4,6217,0.5384,3.419
ANGSTY_GRIEF + MYSTERY_THRILLER_SUSPENSE,0.17,0.24,3,4260,0.4038,2.3427
ACTION_ADVENTURE + WITCHES_MAGIC,0.16,0.22,3,4548,0.4038,2.5011
CONTEMPORARY_ROMANCE + DARK_TRAUMA,0.11,0.19,5,11499,0.6729,6.3237
CONTEMPORARY_ROMANCE + NEW_ADULT,0.08,0.19,10,30988,1.3459,17.0414
ACTION_ADVENTURE + CONTEMPORARY_ROMANCE,0.1,0.16,4,9559,0.5384,5.2568
ACADEMIA_SCHOOL + NEW_ADULT,0.1,0.14,3,7534,0.4038,4.1432
FRIENDS_TO_LOVERS + NEW_ADULT,0.09,0.12,3,8217,0.4038,4.5188
HIGH_STEAM + REP_MM,0.08,0.11,3,9456,0.4038,5.2002
DARK_TRAUMA + HIGH_STEAM,0.07,0.1,3,10515,0.4038,5.7826
HIGH_STEAM + NEW_ADULT,0.05,0.08,4,19403,0.5384,10.6704
NEW_ADULT + YOUNG_ADULT,0.06,0.08,3,13341,0.4038,7.3367
