stack,trend_lift,weighted_score,epoch3_count,baseline_count,epoch3_share,baseline_share
BILLIONAIRE + FAKE_DATING,101.97,182.71,5,12,0.6729,0.0066
FORCED_PROXIMITY + FRIENDS_TO_LOVERS,50.74,180.39,34,164,4.576,0.0902
FORCED_PROXIMITY + HISTORICAL_ROMANCE,108.77,175.06,4,9,0.5384,0.0049
ACTION_ADVENTURE + FORCED_PROXIMITY,108.77,175.06,4,9,0.5384,0.0049
COWBOY_WESTERN + ENEMIES_TO_LOVERS,72.51,159.33,8,27,1.0767,0.0148
FORBIDDEN_TABOO + FORCED_PROXIMITY,88.99,143.23,4,11,0.5384,0.006
CLEAN_SWEET + INSPIRATIONAL_CHRISTIAN,63.45,131.94,7,27,0.9421,0.0148
CLEAN_SWEET + WITCHES_MAGIC,47.59,128.87,14,72,1.8843,0.0396
CLEAN_SWEET + HISTORICAL_ROMANCE,57.58,126.53,8,34,1.0767,0.0187
CLEAN_SWEET + PARANORMAL_ROMANCE,41.48,126.29,20,118,2.6918,0.0649
SLOW_BURN + WITCHES_MAGIC,40.42,119.0,18,109,2.4226,0.0599
FAIRY_TALE_RETELLING + REP_FF,81.58,113.09,3,9,0.4038,0.0049
ENEMIES_TO_LOVERS + SPORTS_BASEBALL,50.99,91.36,5,24,0.6729,0.0132
FORCED_PROXIMITY + HIGH_STEAM,28.35,84.94,19,164,2.5572,0.0902
FORBIDDEN_TABOO + SPORTS_HOCKEY,61.18,84.82,3,12,0.4038,0.0066
PARANORMAL_ROMANCE + SLOW_BURN,23.36,74.23,23,241,3.0956,0.1325
FAE_ELVES + SLOW_BURN,44.5,71.62,4,22,0.5384,0.0121
FAKE_DATING + HIGH_STEAM,40.79,65.65,4,24,0.5384,0.0132
FANTASY_ROMANCE + SLOW_BURN,18.89,60.79,24,311,3.2301,0.171
DRAGONS + SLOW_BURN,43.19,59.87,3,17,0.4038,0.0093
SPORTS_HOCKEY + WORKPLACE,40.79,56.55,3,18,0.4038,0.0099
SMALL_TOWN + WORKPLACE,23.94,55.13,9,92,1.2113,0.0506
FAKE_DATING + FOUND_FAMILY,33.76,54.33,4,29,0.5384,0.0159
HOLIDAY + REP_CULTURAL_IDENTITY,38.64,53.57,3,19,0.4038,0.0104
ENEMIES_TO_LOVERS + WITCHES_MAGIC,13.84,52.97,45,796,6.0565,0.4377
FAIRY_TALE_RETELLING + REP_QUEER_GENERAL,29.14,52.2,5,42,0.6729,0.0231
ENEMIES_TO_LOVERS + FAE_ELVES,17.8,50.43,16,220,2.1534,0.121
ENEMIES_TO_LOVERS + SPORTS_HOCKEY,22.77,50.02,8,86,1.0767,0.0473
ENEMIES_TO_LOVERS + PARANORMAL_ROMANCE,11.43,48.57,69,1477,9.2867,0.8123
FRIENDS_TO_LOVERS + SEASONAL_SUMMER_BEACH,20.23,48.5,10,121,1.3459,0.0665
SLOW_BURN + WORKPLACE,22.0,48.34,8,89,1.0767,0.0489
COWBOY_WESTERN + SMALL_TOWN,16.02,47.17,18,275,2.4226,0.1512
DRAGONS + ENEMIES_TO_LOVERS,19.58,46.95,10,125,1.3459,0.0687
MARRIAGE_OF_CONVENIENCE + SPORTS_GENERAL,23.31,45.36,6,63,0.8075,0.0346
ENEMIES_TO_LOVERS + SLOW_BURN,14.25,45.29,23,395,3.0956,0.2172
HORROR + REP_FF,31.92,44.25,3,23,0.4038,0.0126
ENEMIES_TO_LOVERS + FANTASY_ROMANCE,10.33,44.04,70,1658,9.4213,0.9118
REP_FF + WITCHES_MAGIC,23.99,42.99,5,51,0.6729,0.028
FANTASY_ROMANCE + REP_FF,15.06,42.67,16,260,2.1534,0.143
REP_FF + YOUNG_ADULT,16.07,42.41,13,198,1.7497,0.1089
SLOW_BURN + SMALL_TOWN,17.11,41.04,10,143,1.3459,0.0786
ACADEMIA_SCHOOL + DRAGONS,29.37,40.71,3,25,0.4038,0.0137
ENEMIES_TO_LOVERS + SMALL_TOWN,12.24,37.26,20,400,2.6918,0.22
FAE_ELVES + MONSTER_ALIEN,19.74,35.36,5,62,0.6729,0.0341
COWBOY_WESTERN + FRIENDS_TO_LOVERS,17.91,34.85,6,82,0.8075,0.0451
FAKE_DATING + YOUNG_ADULT,23.68,32.83,3,31,0.4038,0.017
ENEMIES_TO_LOVERS + SEASONAL_SUMMER_BEACH,19.58,31.51,4,50,0.5384,0.0275
FAIRY_TALE_RETELLING + FANTASY_ROMANCE,9.18,29.54,24,640,3.2301,0.352
FAIRY_TALE_RETELLING + PARANORMAL_ROMANCE,10.28,29.12,16,381,2.1534,0.2095
SMALL_TOWN + SPORTS_BASEBALL,20.39,28.27,3,36,0.4038,0.0198
FAE_ELVES + FAIRY_TALE_RETELLING,17.48,28.13,4,56,0.5384,0.0308
COWBOY_WESTERN + SECOND_CHANCE,15.69,28.11,5,78,0.6729,0.0429
SPORTS_GENERAL + SPORTS_HOCKEY,7.98,27.65,31,951,4.1723,0.523
ACADEMIA_SCHOOL + FAE_ELVES,17.17,27.64,4,57,0.5384,0.0313
ACADEMIA_SCHOOL + FANTASY_ROMANCE,8.84,26.9,20,554,2.6918,0.3047
BILLIONAIRE + SLOW_BURN,14.74,26.42,5,83,0.6729,0.0456
DARK_ROMANCE + FAIRY_TALE_RETELLING,12.99,25.29,6,113,0.8075,0.0621
DEMONS_ANGELS + FAIRY_TALE_RETELLING,11.98,24.91,7,143,0.9421,0.0786
PARANORMAL_ROMANCE + REP_FF,9.99,21.95,8,196,1.0767,0.1078
DARK_TRAUMA + FORCED_PROXIMITY,15.62,21.66,3,47,0.4038,0.0258
REP_FF + REP_QUEER_GENERAL,5.91,21.5,37,1532,4.9798,0.8425
ACADEMIA_SCHOOL + PARANORMAL_ROMANCE,7.27,21.02,17,572,2.288,0.3146
SEASONAL_SUMMER_BEACH + SECOND_CHANCE,13.05,21.01,4,75,0.5384,0.0412
FIREFIGHTER_FIRST_RESPONDER + SMALL_TOWN,11.65,20.88,5,105,0.6729,0.0577
SPORTS_GENERAL + WORKPLACE,10.41,20.27,6,141,0.8075,0.0775
DARK_ROMANCE + ENEMIES_TO_LOVERS,6.02,20.26,28,1139,3.7685,0.6264
ENEMIES_TO_LOVERS + SPORTS_GENERAL,6.66,19.62,18,661,2.4226,0.3635
DARK_ROMANCE + FAE_ELVES,10.06,19.57,6,146,0.8075,0.0803
FRIENDS_TO_LOVERS + SMALL_TOWN,5.63,19.16,29,1260,3.9031,0.6929
CONTEMPORARY_ROMANCE + SEASONAL_SUMMER_BEACH,5.4,19.05,33,1495,4.4415,0.8222
FRIENDS_TO_LOVERS + SPORTS_BASEBALL,9.95,17.83,5,123,0.6729,0.0676
SECOND_CHANCE + SPORTS_BASEBALL,11.0,17.7,4,89,0.5384,0.0489
SMALL_TOWN + SPORTS_GENERAL,6.85,17.56,12,429,1.6151,0.2359
FAIRY_TALE_RETELLING + WITCHES_MAGIC,7.04,16.2,9,313,1.2113,0.1721
DRAGONS + FANTASY_ROMANCE,4.44,15.91,35,1929,4.7106,1.0608
FAIRY_TALE_RETELLING + FRIENDS_TO_LOVERS,11.47,15.9,3,64,0.4038,0.0352
CONTEMPORARY_ROMANCE + ENEMIES_TO_LOVERS,3.69,15.74,70,4641,9.4213,2.5523
SECOND_CHANCE + SPORTS_HOCKEY,8.02,15.61,6,183,0.8075,0.1006
CONTEMPORARY_ROMANCE + SLOW_BURN,4.76,15.5,25,1286,3.3647,0.7072
CONTEMPORARY_ROMANCE + COWBOY_WESTERN,5.33,15.42,17,780,2.288,0.429
DARK_ROMANCE + FANTASY_ROMANCE,3.96,15.33,47,2905,6.3257,1.5976
CONTEMPORARY_ROMANCE + SPORTS_HOCKEY,5.1,15.01,18,864,2.4226,0.4751
DRAGONS + PARANORMAL_ROMANCE,4.18,14.87,34,1990,4.576,1.0944
FAE_ELVES + FANTASY_ROMANCE,3.87,14.56,42,2656,5.6528,1.4606
CLEAN_SWEET + CONTEMPORARY_ROMANCE,6.53,14.34,8,300,1.0767,0.165
FANTASY_ROMANCE + WITCHES_MAGIC,2.84,14.14,145,12505,19.5155,6.877
FRIENDS_TO_LOVERS + REP_FF,8.44,13.58,4,116,0.5384,0.0638
DARK_ROMANCE + PARANORMAL_ROMANCE,3.59,13.51,42,2862,5.6528,1.5739
ACADEMIA_SCHOOL + WITCHES_MAGIC,6.49,13.49,7,264,0.9421,0.1452
FANTASY_ROMANCE + REP_QUEER_GENERAL,3.44,13.47,49,3482,6.5949,1.9149
SPORTS_BASEBALL + SPORTS_GENERAL,5.42,13.46,11,497,1.4805,0.2733
ENEMIES_TO_LOVERS + WORKPLACE,5.56,13.34,10,440,1.3459,0.242
FANTASY_ROMANCE + PARANORMAL_ROMANCE,2.38,13.29,265,27247,35.6662,14.9841
HISTORICAL_ROMANCE + REP_FF,8.23,13.24,4,119,0.5384,0.0654
FRIENDS_TO_LOVERS + SPORTS_HOCKEY,6.3,13.1,7,272,0.9421,0.1496
ENEMIES_TO_LOVERS + HOLIDAY,7.28,13.05,5,168,0.6729,0.0924
FAE_ELVES + PARANORMAL_ROMANCE,3.52,12.97,39,2715,5.249,1.4931
DRAGONS + FAE_ELVES,5.17,12.84,11,521,1.4805,0.2865
FRIENDS_TO_LOVERS + WORKPLACE,5.09,12.65,11,529,1.4805,0.2909
REP_FF + SCI_FI_ROMANCE,7.77,12.5,4,126,0.5384,0.0693
ENEMIES_TO_LOVERS + YOUNG_ADULT,4.09,12.46,20,1196,2.6918,0.6577
FOUND_FAMILY + SPORTS_HOCKEY,6.25,12.16,6,235,0.8075,0.1292
FANTASY_ROMANCE + YOUNG_ADULT,2.85,12.01,67,5759,9.0175,3.1671
ENEMIES_TO_LOVERS + SECOND_CHANCE,4.17,11.8,16,940,2.1534,0.5169
FOUND_FAMILY + SLOW_BURN,4.66,11.57,11,578,1.4805,0.3179
SCI_FI_ROMANCE + SLOW_BURN,8.34,11.57,3,88,0.4038,0.0484
HOLIDAY + WORKPLACE,8.25,11.44,3,89,0.4038,0.0489
FORCED_PROXIMITY + YOUNG_ADULT,8.25,11.44,3,89,0.4038,0.0489
ACADEMIA_SCHOOL + ENEMIES_TO_LOVERS,4.45,11.41,12,660,1.6151,0.363
DRAGONS + YOUNG_ADULT,6.24,11.19,5,196,0.6729,0.1078
FRIENDS_TO_LOVERS + SLOW_BURN,4.0,11.09,15,918,2.0188,0.5048
FIREFIGHTER_FIRST_RESPONDER + FRIENDS_TO_LOVERS,6.18,11.07,5,198,0.6729,0.1089
PARANORMAL_ROMANCE + WITCHES_MAGIC,2.3,11.05,120,12744,16.1507,7.0084
SECOND_CHANCE + SMALL_TOWN,3.68,10.85,18,1196,2.4226,0.6577
SECOND_CHANCE + SLOW_BURN,6.0,10.75,5,204,0.6729,0.1122
ROM_COM + SEASONAL_SUMMER_BEACH,5.11,10.63,7,335,0.9421,0.1842
CONTEMPORARY_ROMANCE + WORKPLACE,3.01,10.62,33,2682,4.4415,1.4749
ENEMIES_TO_LOVERS + REVERSE_HAREM_POLY,5.88,10.54,5,208,0.6729,0.1144
CONTEMPORARY_ROMANCE + SMALL_TOWN,2.48,10.48,67,6599,9.0175,3.629
PARANORMAL_ROMANCE + YOUNG_ADULT,2.62,10.45,53,4952,7.1332,2.7233
CLEAN_SWEET + MYSTERY_THRILLER_SUSPENSE,5.36,10.43,6,274,0.8075,0.1507
REP_QUEER_GENERAL + YOUNG_ADULT,3.19,10.39,25,1919,3.3647,1.0553
DARK_ROMANCE + SLOW_BURN,5.26,10.24,6,279,0.8075,0.1534
COWBOY_WESTERN + FOUND_FAMILY,4.75,9.87,7,361,0.9421,0.1985
ENEMIES_TO_LOVERS + ROM_COM,3.04,9.8,24,1929,3.2301,1.0608
DRAGONS + WITCHES_MAGIC,3.26,9.75,19,1428,2.5572,0.7853
FORBIDDEN_TABOO + SPORTS_GENERAL,6.01,9.67,4,163,0.5384,0.0896
SMALL_TOWN + SPORTS_FOOTBALL,6.93,9.6,3,106,0.4038,0.0583
FAE_ELVES + WITCHES_MAGIC,2.87,9.57,27,2301,3.6339,1.2654
DARK_ROMANCE + WITCHES_MAGIC,3.38,9.57,16,1159,2.1534,0.6374
WITCHES_MAGIC + YOUNG_ADULT,2.81,9.56,29,2524,3.9031,1.388
FIREFIGHTER_FIRST_RESPONDER + SECOND_CHANCE,6.67,9.25,3,110,0.4038,0.0605
DRAGONS + REP_QUEER_GENERAL,5.53,8.9,4,177,0.5384,0.0973
FOUND_FAMILY + WORKPLACE,4.05,8.89,8,484,1.0767,0.2662
SECOND_CHANCE + SPORTS_GENERAL,3.32,8.77,13,957,1.7497,0.5263
ACADEMIA_SCHOOL + FORCED_PROXIMITY,6.28,8.7,3,117,0.4038,0.0643
FANTASY_ROMANCE + HISTORICAL_ROMANCE,2.24,8.52,44,4811,5.9219,2.6457
SLOW_BURN + SPORTS_GENERAL,5.26,8.47,4,186,0.5384,0.1023
FOUND_FAMILY + SMALL_TOWN,2.35,8.34,34,3547,4.576,1.9506
DARK_ROMANCE + DRAGONS,5.83,8.08,3,126,0.4038,0.0693
CLEAN_SWEET + ROM_COM,4.97,8.0,4,197,0.5384,0.1083
CONTEMPORARY_ROMANCE + SPORTS_SOCCER,5.74,7.95,3,128,0.4038,0.0704
MONSTER_ALIEN + WITCHES_MAGIC,4.06,7.89,6,362,0.8075,0.1991
PARANORMAL_ROMANCE + REP_QUEER_GENERAL,2.28,7.82,30,3225,4.0377,1.7735
HISTORICAL_ROMANCE + REP_QUEER_GENERAL,2.82,7.81,15,1303,2.0188,0.7166
ENEMIES_TO_LOVERS + REP_FF,5.56,7.71,3,132,0.4038,0.0726
SPORTS_GENERAL + SPORTS_SOCCER,5.52,7.65,3,133,0.4038,0.0731
BILLIONAIRE + SMALL_TOWN,5.52,7.65,3,133,0.4038,0.0731
FRIENDS_TO_LOVERS + SPORTS_GENERAL,2.47,7.63,21,2082,2.8264,1.145
MARRIAGE_OF_CONVENIENCE + SMALL_TOWN,5.44,7.54,3,135,0.4038,0.0742
FRIENDS_TO_LOVERS + MARRIAGE_OF_CONVENIENCE,3.58,7.44,7,479,0.9421,0.2634
CONTEMPORARY_ROMANCE + SPORTS_BASEBALL,3.57,7.42,7,480,0.9421,0.264
CONTEMPORARY_ROMANCE + SPORTS_GENERAL,1.9,7.4,48,6175,6.4603,3.3959
FRIENDS_TO_LOVERS + SPORTS_FOOTBALL,3.77,7.35,6,389,0.8075,0.2139
ROM_COM + SMALL_TOWN,2.47,7.14,17,1684,2.288,0.9261
FAIRY_TALE_RETELLING + HISTORICAL_ROMANCE,3.25,7.13,8,603,1.0767,0.3316
REP_QUEER_GENERAL + WITCHES_MAGIC,2.62,6.72,12,1121,1.6151,0.6165
CONTEMPORARY_ROMANCE + FRIENDS_TO_LOVERS,1.49,6.61,84,13826,11.3055,7.6034
BILLIONAIRE + ENEMIES_TO_LOVERS,2.99,6.57,8,655,1.0767,0.3602
CONTEMPORARY_ROMANCE + REP_FF,3.88,6.25,4,252,0.5384,0.1386
ENEMIES_TO_LOVERS + FOUND_FAMILY,2.15,6.22,17,1932,2.288,1.0625
ENEMIES_TO_LOVERS + SCI_FI_ROMANCE,2.79,6.13,8,702,1.0767,0.3861
HORROR + REP_QUEER_GENERAL,3.4,6.09,5,360,0.6729,0.198
SECOND_CHANCE + WORKPLACE,3.78,6.08,4,259,0.5384,0.1424
FOUND_FAMILY + SPORTS_GENERAL,2.09,5.92,16,1875,2.1534,1.0311
FOUND_FAMILY + SPORTS_FOOTBALL,3.28,5.88,5,373,0.6729,0.2051
HOLIDAY + WITCHES_MAGIC,3.25,5.83,5,376,0.6729,0.2068
FRIENDS_TO_LOVERS + SECOND_CHANCE,1.83,5.82,23,3073,3.0956,1.69
FAE_ELVES + HISTORICAL_ROMANCE,3.25,5.82,5,377,0.6729,0.2073
FANTASY_ROMANCE + MONSTER_ALIEN,2.02,5.72,16,1939,2.1534,1.0663
FAE_ELVES + REVERSE_HAREM_POLY,4.08,5.65,3,180,0.4038,0.099
HISTORICAL_ROMANCE + PARANORMAL_ROMANCE,1.67,5.61,28,4111,3.7685,2.2608
CONTEMPORARY_ROMANCE + SPORTS_FOOTBALL,2.32,5.57,10,1053,1.3459,0.5791
HISTORICAL_ROMANCE + YOUNG_ADULT,2.08,5.49,13,1528,1.7497,0.8403
HOLIDAY + SMALL_TOWN,2.62,5.46,7,653,0.9421,0.3591
CONTEMPORARY_ROMANCE + ROM_COM,1.27,5.44,72,13885,9.6904,7.6359
ENEMIES_TO_LOVERS + NEURODIVERGENT_DISABILITY,3.34,5.38,4,293,0.5384,0.1611
FAE_ELVES + YOUNG_ADULT,2.96,5.3,5,414,0.6729,0.2277
ROM_COM + SECOND_CHANCE,2.13,5.29,11,1264,1.4805,0.6951
DARK_ROMANCE + REVERSE_HAREM_POLY,2.2,5.27,10,1114,1.3459,0.6126
HOLIDAY + ROM_COM,2.28,5.26,9,964,1.2113,0.5301
