book_title,author,goodreads_url,reviews_count,avg_rating,shelves
Five Alarm Kiss (The Kiss Club #3),Angela     Taylor,https://www.goodreads.com/book/show/217018916-five-alarm-kiss,,,
"Rose Moon (The Prophecy of Light Series, #1)",Heidi  Adams,https://www.goodreads.com/book/show/212267706-rose-moon,,,
"Feel It in the Air (Hayes Family, #2)",Claire  Hastings,https://www.goodreads.com/book/show/214869844-feel-it-in-the-air,,,
Mine to Gain,Maggie Rawdon,https://www.goodreads.com/book/show/209076903-mine-to-gain,,,
"Beg For Me (Morally Gray Book, #3)",J.T. Geissinger,https://www.goodreads.com/book/show/209490494-beg-for-me,,,
Hannah and the Hitman (The Hitman and The Fixer Book 1),Vanessa Vale,https://www.goodreads.com/book/show/218059987-hannah-and-the-hitman,,,
Tangled Up With You (Second Hope #2),Jessica Prince,https://www.goodreads.com/book/show/217440564-tangled-up-with-you,,,
Twisted Tides (Forged Hearts #2),L. Renee Richard,https://www.goodreads.com/book/show/205671608-twisted-tides,,,
Haunt Your Heart Out,Amber Roberts,https://www.goodreads.com/book/show/205438870-haunt-your-heart-out,,,
Puck & Make Up (Rush Hockey #7),Elise Faber,https://www.goodreads.com/book/show/201735135-puck-make-up,,,
"Wicked & Wildflower (Pacific Shores, #2)",Sarah A. Bailey,https://www.goodreads.com/book/show/213580713-wicked-wildflower,,,
"Fire Line (The Griffith Brothers, #3)",Maggie C. Gates,https://www.goodreads.com/book/show/217450681-fire-line,,,
"The Predator (Oakmount Elite, #4)",J.L. Beck,https://www.goodreads.com/book/show/216555788-the-predator,,,
Firethorne,Nikki J. Summers,https://www.goodreads.com/book/show/212423092-firethorne,,,
"The Baseball Card Boyfriend (Starrycard Creek Bachelors, #3)",Krista Sandor,https://www.goodreads.com/book/show/209900463-the-baseball-card-boyfriend,,,
Beautiful Devil,Rachel  Leigh,https://www.goodreads.com/book/show/214981713-beautiful-devil,,,
My Girlfriend is a Werewolf (A Moonstruck Mating #1),Eve Langlais,https://www.goodreads.com/book/show/209018388-my-girlfriend-is-a-werewolf,,,
"The Demon's Queen (A Deal With a Demon, #6)",Katee Robert,https://www.goodreads.com/book/show/209133367-the-demon-s-queen,,,
Best Hex Ever,Nadia El-Fassi,https://www.goodreads.com/book/show/204640549-best-hex-ever,,,
If This Was a Movie (Evergreen Park #2),Morgan  Elizabeth,https://www.goodreads.com/book/show/217388410-if-this-was-a-movie,,,
If I Stopped Haunting You,Colby Wilkens,https://www.goodreads.com/book/show/203578889-if-i-stopped-haunting-you,,,
Fang Fiction,Kate Stayman-London,https://www.goodreads.com/book/show/204640575-fang-fiction,,,
The Christmas Crush,Noelle  Douglas,https://www.goodreads.com/book/show/205015150-the-christmas-crush,,,
Perfect Fit,Clare Gilmore,https://www.goodreads.com/book/show/203578971-perfect-fit,,,
"Power Play (D.C. Stars, #2)",Chelsea Curto,https://www.goodreads.com/book/show/218022571-power-play,,,
"Mr. Heartbreaker (The Nest, #1)",Piper Rayne,https://www.goodreads.com/book/show/220146590-mr-heartbreaker,,,
"A Curse of Fate (Shifter City Fated Mates, #1)",Jaymin Eve,https://www.goodreads.com/book/show/220233664-a-curse-of-fate,,,
Mine for a Moment,Catharina Maura,https://www.goodreads.com/book/show/210441762-mine-for-a-moment,,,
Make My Heart Malt (Brews & Flings #2),Gia Stevens,https://www.goodreads.com/book/show/210583276-make-my-heart-malt,,,
Love You a Latke,Amanda Elliot,https://www.goodreads.com/book/show/205804581-love-you-a-latke,,,
Knotted Laces (Eagles Hockey #2),Elise Faber,https://www.goodreads.com/book/show/199290790-knotted-laces,,,
"Darn Knit All (All Access, #3)",Evie Mitchell,https://www.goodreads.com/book/show/59227343-darn-knit-all,,,
Falling for Finn (Maplewood Falls #1),Brooke Fox,https://www.goodreads.com/book/show/218315541-falling-for-finn,,,
Trapped and Tackled (Knoxville Coyotes Football #3),Gina Azzi,https://www.goodreads.com/book/show/206757495-trapped-and-tackled,,,
Wish I Were Here,Melissa Wiesner,https://www.goodreads.com/book/show/207567814-wish-i-were-here,,,
"Wild Pitch (Daytona Fury, #1)",C.L. Rose,https://www.goodreads.com/book/show/214199947-wild-pitch,,,
Marshall Family Collection (Marshall Family Series),Adriana Locke,https://www.goodreads.com/book/show/218249079-marshall-family-collection,,,
"Monarch (Grimstone, #2)",Sophie Lark,https://www.goodreads.com/book/show/209568775-monarch,,,
"The Anti-Social Season (First Responders, #2)",Adele Buck,https://www.goodreads.com/book/show/199663257-the-anti-social-season,,,
