book_title,author,goodreads_url,reviews_count,avg_rating,shelves,date_scraped,status
"Things We Never Got Over (Knockemout, #1)",Lucy Score,https://www.goodreads.com/book/show/60060431-things-we-never-got-over,79816.0,4.12,"{""romance"": null, ""contemporary"": null, ""contemporary romance"": null, ""enemies to lovers"": null, ""fiction"": null, ""small town romance"": null, ""book club"": null, ""adult"": null, ""fake dating"": null, ""audiobook"": null}",2026-03-21,success
"Husband Material (London Calling, #2)",Alexis  Hall,https://www.goodreads.com/book/show/58323892-husband-material,7596.0,3.54,"{""romance"": null, ""lgbt"": null, ""contemporary"": null, ""queer"": null, ""audiobook"": null, ""fiction"": null, ""adult"": null, ""m m romance"": null, ""contemporary romance"": null, ""gay"": null}",2026-03-21,success
"Electric Idol (Dark Olympus, #2)",Katee Robert,https://www.goodreads.com/book/show/57661359-electric-idol,12120.0,3.94,"{""romance"": null, ""fantasy"": null, ""mythology"": null, ""dark romance"": null, ""spicy"": null, ""audiobook"": null, ""retellings"": null, ""greek mythology"": null, ""fiction"": null, ""smut"": null}",2026-03-21,success
"Set on You (The Influencer, #1)",Amy  Lea,https://www.goodreads.com/book/show/58784485-set-on-you,7316.0,3.56,"{""romance"": null, ""contemporary"": null, ""enemies to lovers"": null, ""contemporary romance"": null, ""fiction"": null, ""audiobook"": null, ""adult"": null, ""rom com"": null, ""chick lit"": null, ""sports"": null}",2026-03-21,success
"Delilah Green Doesn't Care (Bright Falls, #1)",Ashley Herring Blake,https://www.goodreads.com/book/show/54756850-delilah-green-doesn-t-care,17985.0,4.05,"{""romance"": null, ""lgbt"": null, ""queer"": null, ""lesbian"": null, ""contemporary"": null, ""fiction"": null, ""adult"": null, ""audiobook"": null, ""contemporary romance"": null, ""gay"": null}",2026-03-21,success
"Terms and Conditions  (Dreamland Billionaires, #2)",Lauren Asher,https://www.goodreads.com/book/show/58353827-terms-and-conditions,,,"{""romance"": null, ""marriage of convenience"": null, ""fake dating"": null, ""contemporary"": null, ""contemporary romance"": null, ""workplace romance"": null, ""billionaire romance"": null, ""fiction"": null, ""spicy"": null, ""forced proximity"": null}",2026-03-21,success
The Wedding Crasher,Mia Sosa,https://www.goodreads.com/book/show/50172797-the-wedding-crasher,,,"{""romance"": null, ""contemporary"": null, ""fake dating"": null, ""contemporary romance"": null, ""audiobook"": null, ""fiction"": null, ""adult"": null, ""rom com"": null, ""chick lit"": null, ""friends to lovers"": null}",2026-03-21,success
"Running Wild (Wild, #3)",K.A. Tucker,https://www.goodreads.com/book/show/58817631-running-wild,,,"{""romance"": null, ""contemporary"": null, ""contemporary romance"": null, ""fiction"": null, ""enemies to lovers"": null, ""small town romance"": null, ""audiobook"": null, ""adult"": null, ""slow burn"": null, ""friends to lovers"": null}",2026-03-21,success
"Dating Dr. Dil (If Shakespeare Was an Auntie, #1)",Nisha Sharma,https://www.goodreads.com/book/show/57007401-dating-dr-dil,10112.0,3.58,"{""romance"": null, ""contemporary"": null, ""contemporary romance"": null, ""enemies to lovers"": null, ""fiction"": null, ""audiobook"": null, ""fake dating"": null, ""adult"": null, ""rom com"": null, ""chick lit"": null}",2026-03-21,success
"Everything for You (Bergman Brothers, #5)",Chloe Liese,https://www.goodreads.com/book/show/59824159-everything-for-you,,,"{""romance"": null, ""sports romance"": null, ""sports"": null, ""enemies to lovers"": null, ""lgbt"": null, ""contemporary"": null, ""audiobook"": null, ""m m romance"": null, ""contemporary romance"": null, ""queer"": null}",2026-03-21,success
Made in Manhattan,Lauren Layne,https://www.goodreads.com/book/show/58438547-made-in-manhattan,1513.0,3.72,"{""romance"": null, ""contemporary romance"": null, ""contemporary"": null, ""fiction"": null, ""enemies to lovers"": null, ""chick lit"": null, ""audiobook"": null, ""adult"": null, ""rom com"": null, ""retellings"": null}",2026-03-21,success
My Killer Vacation,Tessa Bailey,https://www.goodreads.com/book/show/60191114-my-killer-vacation,17357.0,3.58,"{""romance"": null, ""mystery"": null, ""contemporary"": null, ""contemporary romance"": null, ""adult"": null, ""rom com"": null, ""spicy"": null, ""fiction"": null, ""summer reads"": null, ""thriller"": null}",2026-03-21,success
The Summer Proposal,Vi Keeland,https://www.goodreads.com/book/show/59585168-the-summer-proposal,2572.0,4.14,"{""romance"": null, ""sports"": null, ""sports romance"": null, ""contemporary"": null, ""contemporary romance"": null, ""hockey"": null, ""audiobook"": null, ""hockey romance"": null, ""adult"": null, ""spicy"": null}",2026-03-21,success
"Not the Witch You Wed (Supernatural Singles, #1)",April Asher,https://www.goodreads.com/book/show/57693468-not-the-witch-you-wed,2368.0,3.77,"{""romance"": null, ""fantasy"": null, ""paranormal"": null, ""witches"": null, ""paranormal romance"": null, ""audiobook"": null, ""contemporary"": null, ""magic"": null, ""adult"": null, ""fiction"": null}",2026-03-21,success
"Count Your Lucky Stars (Written in the Stars, #3)",Alexandria Bellefleur,https://www.goodreads.com/book/show/58079450-count-your-lucky-stars,3743.0,3.94,"{""romance"": null, ""lgbt"": null, ""lesbian"": null, ""queer"": null, ""contemporary"": null, ""fiction"": null, ""adult"": null, ""audiobook"": null, ""friends to lovers"": null, ""contemporary romance"": null}",2026-03-21,success
"Folk Around and Find Out (Good Folk: Modern Folktales, #2)",Penny Reid,https://www.goodreads.com/book/show/58597663-folk-around-and-find-out,,,"{""romance"": null, ""contemporary romance"": null, ""contemporary"": null, ""fiction"": null, ""enemies to lovers"": null, ""chick lit"": null, ""audiobook"": null, ""small town romance"": null, ""humor"": null, ""slow burn"": null}",2026-03-21,success
"Twisted Lies (Twisted, #4)",Ana Huang,https://www.goodreads.com/book/show/60217302-twisted-lies,,,"{""romance"": null, ""fake dating"": null, ""dark romance"": null, ""contemporary romance"": null, ""contemporary"": null, ""spicy"": null, ""forced proximity"": null, ""smut"": null, ""billionaire romance"": null, ""adult"": null}",2026-03-21,success
One Night on the Island,Josie Silver,https://www.goodreads.com/book/show/59078993-one-night-on-the-island,5774.0,3.74,"{""romance"": null, ""fiction"": null, ""contemporary"": null, ""audiobook"": null, ""chick lit"": null, ""contemporary romance"": null, ""adult"": null, ""ireland"": null, ""rom com"": null, ""forced proximity"": null}",2026-03-21,success
"Loathe to Love You (The STEMinist Novellas, #1-3)",Ali Hazelwood,https://www.goodreads.com/book/show/59054191-loathe-to-love-you,10273.0,3.83,"{""romance"": null, ""contemporary"": null, ""contemporary romance"": null, ""fiction"": null, ""enemies to lovers"": null, ""adult"": null, ""short stories"": null, ""novella"": null, ""rom com"": null, ""spicy"": null}",2026-03-21,success
Lease on Love,Falon Ballard,https://www.goodreads.com/book/show/57974961-lease-on-love,4056.0,3.71,"{""romance"": null, ""contemporary"": null, ""fiction"": null, ""contemporary romance"": null, ""audiobook"": null, ""adult"": null, ""chick lit"": null, ""rom com"": null, ""friends to lovers"": null, ""forced proximity"": null}",2026-03-21,success
"Fake It Till You Bake It (Sugar Blitz, #1)",Jamie Wesley,https://www.goodreads.com/book/show/58724876-fake-it-till-you-bake-it,2858.0,3.6,"{""romance"": null, ""contemporary"": null, ""fake dating"": null, ""contemporary romance"": null, ""adult"": null, ""fiction"": null, ""audiobook"": null, ""sports"": null, ""chick lit"": null, ""enemies to lovers"": null}",2026-03-21,success
Motel,Penelope Douglas,https://www.goodreads.com/book/show/39720351-motel,46.0,4.1,"{""romance"": null, ""dark romance"": null, ""contemporary"": null, ""new adult"": null, ""dark"": null, ""contemporary romance"": null, ""spicy"": null, ""adult"": null}",2026-03-21,success
The No-Show,Beth O'Leary,https://www.goodreads.com/book/show/58678549-the-no-show,16363.0,3.78,"{""romance"": null, ""fiction"": null, ""contemporary"": null, ""audiobook"": null, ""chick lit"": null, ""contemporary romance"": null, ""adult"": null, ""rom com"": null, ""adult fiction"": null, ""book club"": null}",2026-03-21,success
"Love & Other Disasters (Nashville Love, #1)",Anita Kelly,https://www.goodreads.com/book/show/55297669-love-other-disasters,4134.0,3.8,"{""romance"": null, ""lgbt"": null, ""queer"": null, ""contemporary"": null, ""fiction"": null, ""adult"": null, ""audiobook"": null, ""contemporary romance"": null, ""lesbian"": null, ""adult fiction"": null}",2026-03-21,success
Ten Trends to Seduce Your Bestfriend,Penny Reid,https://www.goodreads.com/book/show/59829197-ten-trends-to-seduce-your-bestfriend,,,"{""romance"": null, ""contemporary"": null, ""contemporary romance"": null, ""friends to lovers"": null, ""enemies to lovers"": null, ""slow burn"": null, ""fiction"": null, ""fake dating"": null, ""audiobook"": null, ""rom com"": null}",2026-03-21,success
Love at First Spite,Anna E. Collins,https://www.goodreads.com/book/show/57724262-love-at-first-spite,2670.0,3.45,"{""romance"": null, ""contemporary"": null, ""audiobook"": null, ""contemporary romance"": null, ""fiction"": null, ""chick lit"": null, ""enemies to lovers"": null, ""rom com"": null, ""adult"": null, ""workplace romance"": null}",2026-03-21,success
"The Suite Spot (Beck Sisters, #2)",Trish Doller,https://www.goodreads.com/book/show/57693418-the-suite-spot,2587.0,3.76,"{""romance"": null, ""contemporary"": null, ""audiobook"": null, ""fiction"": null, ""contemporary romance"": null, ""chick lit"": null, ""adult"": null, ""adult fiction"": null, ""forced proximity"": null, ""rom com"": null}",2026-03-21,success
"Pride and Dad Jokes (Ideal Man, #1)",Penny Reid,https://www.goodreads.com/book/show/36266457-pride-and-dad-jokes,7.0,4.38,"{""romance"": null, ""contemporary romance"": null, ""retellings"": null, ""fiction"": null, ""jane austen"": null, ""contemporary"": null, ""rom com"": null, ""adult"": null, ""humor"": null}",2026-03-21,success
"Starry-Eyed Love (Spark House, #2)",Helena Hunting,https://www.goodreads.com/book/show/58724991-starry-eyed-love,1817.0,3.79,"{""romance"": null, ""audiobook"": null, ""contemporary romance"": null, ""contemporary"": null, ""chick lit"": null, ""fiction"": null, ""adult"": null, ""rom com"": null, ""workplace romance"": null, ""slow burn"": null}",2026-03-21,success
"The Best Men (The Best Men, #1)",Sarina Bowen,https://www.goodreads.com/book/show/58790303-the-best-men,,,"{""romance"": null, ""m m romance"": null, ""contemporary"": null, ""lgbt"": null, ""enemies to lovers"": null, ""audiobook"": null, ""contemporary romance"": null, ""forced proximity"": null, ""queer"": null, ""adult"": null}",2026-03-21,success
If You Ask Me,Libby Hubscher,https://www.goodreads.com/book/show/58447512-if-you-ask-me,1070.0,3.52,"{""romance"": null, ""contemporary"": null, ""contemporary romance"": null, ""fiction"": null, ""chick lit"": null, ""adult"": null, ""audiobook"": null, ""rom com"": null, ""adult fiction"": null, ""mental health"": null}",2026-03-21,success
Home for Christmas,Camilla Isley,https://www.goodreads.com/book/show/58366458-home-for-christmas,,,"{""christmas"": null, ""romance"": null, ""holiday"": null, ""romantic comedy"": null, ""chick lit"": null, ""enemies to lovers"": null, ""contemporary"": null, ""contemporary romance"": null, ""audiobook"": null, ""humor"": null}",2026-03-21,success
"A Very Merry Bromance (Bromance Book Club, #5)",Lyssa Kay Adams,https://www.goodreads.com/book/show/59831299-a-very-merry-bromance,4240.0,4.01,"{""romance"": null, ""christmas"": null, ""holiday"": null, ""audiobook"": null, ""contemporary"": null, ""fiction"": null, ""contemporary romance"": null, ""adult"": null, ""rom com"": null, ""chick lit"": null}",2026-03-21,success
"By the Book (Meant to Be, #2)",Jasmine Guillory,https://www.goodreads.com/book/show/58950845-by-the-book,7117.0,3.7,"{""romance"": null, ""fiction"": null, ""audiobook"": null, ""contemporary"": null, ""retellings"": null, ""adult"": null, ""contemporary romance"": null, ""chick lit"": null, ""books about books"": null, ""adult fiction"": null}",2026-03-21,success
By Any Other Name,Lauren Kate,https://www.goodreads.com/book/show/58024770-by-any-other-name,3387.0,3.73,"{""romance"": null, ""contemporary"": null, ""fiction"": null, ""audiobook"": null, ""contemporary romance"": null, ""chick lit"": null, ""adult"": null, ""books about books"": null, ""rom com"": null, ""enemies to lovers"": null}",2026-03-21,success
Just Like Magic,Sarah Hogle,https://www.goodreads.com/book/show/59420717-just-like-magic,2869.0,3.48,"{""romance"": null, ""christmas"": null, ""holiday"": null, ""contemporary"": null, ""fantasy"": null, ""fiction"": null, ""adult"": null, ""contemporary romance"": null, ""magical realism"": null, ""audiobook"": null}",2026-03-21,success
Mad About You,Mhairi McFarlane,https://www.goodreads.com/book/show/58758622-mad-about-you,4986.0,3.82,"{""romance"": null, ""contemporary"": null, ""fiction"": null, ""audiobook"": null, ""contemporary romance"": null, ""chick lit"": null, ""adult"": null, ""rom com"": null, ""forced proximity"": null, ""adult fiction"": null}",2026-03-21,success
"Cream and Punishment (King Family, #2)",Susannah Nix,https://www.goodreads.com/book/show/58451443-cream-and-punishment,430.0,3.71,"{""romance"": null, ""contemporary"": null, ""second chance"": null, ""contemporary romance"": null, ""second chance romance"": null, ""fiction"": null, ""enemies to lovers"": null, ""chick lit"": null, ""workplace romance"": null, ""audiobook"": null}",2026-03-21,success
"How to Love Your Neighbor (Jansen Brothers, #2)",Sophie Sullivan,https://www.goodreads.com/book/show/57693505-how-to-love-your-neighbor,2481.0,3.36,"{""romance"": null, ""contemporary"": null, ""enemies to lovers"": null, ""contemporary romance"": null, ""audiobook"": null, ""fiction"": null, ""rom com"": null, ""adult"": null, ""chick lit"": null, ""forced proximity"": null}",2026-03-21,success
The Treehouse on Dog River Road,Catherine Drake,https://www.goodreads.com/book/show/58926739-the-treehouse-on-dog-river-road,,,"{""romance"": null, ""fiction"": null, ""audiobook"": null, ""contemporary"": null, ""contemporary romance"": null, ""chick lit"": null, ""summer"": null, ""family"": null, ""book club"": null, ""adult fiction"": null}",2026-03-21,success
How to Fake It in Hollywood,Ava  Wilder,https://www.goodreads.com/book/show/59029665-how-to-fake-it-in-hollywood,4636.0,3.64,"{""romance"": null, ""fake dating"": null, ""contemporary"": null, ""contemporary romance"": null, ""fiction"": null, ""adult"": null, ""audiobook"": null, ""chick lit"": null, ""rom com"": null, ""celebrity romance"": null}",2026-03-21,success
"The Rake (Boston Belles, #4)",L.J. Shen,https://www.goodreads.com/book/show/51248391-the-rake,1740.0,4.07,"{""romance"": null, ""dark romance"": null, ""contemporary romance"": null, ""contemporary"": null, ""new adult"": null, ""royalty"": null, ""enemies to lovers"": null, ""audiobook"": null, ""dark"": null, ""adult"": null}",2026-03-21,success
Carrie Soto Is Back,Taylor Jenkins Reid,https://www.goodreads.com/book/show/60435878-carrie-soto-is-back,95336.0,4.2,"{""fiction"": null, ""historical fiction"": null, ""audiobook"": null, ""contemporary"": null, ""romance"": null, ""sports"": null, ""book club"": null, ""adult"": null, ""historical"": null, ""literary fiction"": null}",2026-03-21,success
For Butter or Worse (The Hollywood Series #1),Erin La Rosa,https://www.goodreads.com/book/show/59040889-for-butter-or-worse,1554.0,3.39,"{""romance"": null, ""enemies to lovers"": null, ""contemporary"": null, ""fake dating"": null, ""contemporary romance"": null, ""fiction"": null, ""audiobook"": null, ""adult"": null, ""rom com"": null, ""chick lit"": null}",2026-03-21,success
