book_title,author,goodreads_url,reviews_count,avg_rating,shelves,date_scraped,status
Just a Bit Gay (Straight Guys #9),Alessandra Hazard,https://www.goodreads.com/book/show/37574023-just-a-bit-gay,,,"{""m m romance"": null, ""friends to lovers"": null, ""romance"": null, ""contemporary"": null, ""lgbt"": null, ""gay for you"": null, ""erotica"": null, ""contemporary romance"": null, ""gay"": null, ""queer"": null}",2026-03-21,success
Robby Riverton: Mail Order Bride,Eli Easton,https://www.goodreads.com/book/show/39711956-robby-riverton,519.0,4.04,"{""historical"": null, ""m m romance"": null, ""romance"": null, ""historical romance"": null, ""westerns"": null, ""historical fiction"": null, ""lgbt"": null, ""m m historical romance"": null, ""humor"": null, ""audiobook"": null}",2026-03-21,success
Galaxies and Oceans,N.R. Walker,https://www.goodreads.com/book/show/40627465-galaxies-and-oceans,1084.0,4.22,"{""m m romance"": null, ""romance"": null, ""contemporary"": null, ""lgbt"": null, ""audiobook"": null, ""abuse"": null, ""contemporary romance"": null, ""queer"": null, ""fiction"": null, ""friends to lovers"": null}",2026-03-21,success
"Agent Bayne (PsyCop, #9)",Jordan Castillo Price,https://www.goodreads.com/book/show/37802034-agent-bayne,294.0,4.32,"{""paranormal"": null, ""m m romance"": null, ""mystery"": null, ""romance"": null, ""ghosts"": null, ""urban fantasy"": null, ""audiobook"": null, ""fantasy"": null, ""crime"": null, ""lgbt"": null}",2026-03-21,success
"The Necromancer's Reckoning (The Beacon Hill Sorcerer, #3)",S.J. Himes,https://www.goodreads.com/book/show/35683318-the-necromancer-s-reckoning,359.0,4.49,"{""paranormal"": null, ""m m romance"": null, ""vampires"": null, ""fantasy"": null, ""magic"": null, ""urban fantasy"": null, ""romance"": null, ""dragons"": null, ""audiobook"": null, ""paranormal romance"": null}",2026-03-21,success
Acceptance of the Egoist (Egoist #1.5),Nero Seal,https://www.goodreads.com/book/show/42394378-acceptance-of-the-egoist,,,"{""m m romance"": null, ""dark"": null, ""enemies to lovers"": null, ""abuse"": null, ""lgbt"": null, ""dark romance"": null, ""bdsm"": null, ""novella"": null, ""short stories"": null, ""romance"": null}",2026-03-21,success
"The Magician Murders (The Art of Murder, #3)",Josh Lanyon,https://www.goodreads.com/book/show/36546086-the-magician-murders,385.0,4.09,"{""mystery"": null, ""m m romance"": null, ""romance"": null, ""contemporary"": null, ""crime"": null, ""lgbt"": null, ""audiobook"": null, ""suspense"": null, ""m m mystery"": null, ""fiction"": null}",2026-03-21,success
"Squared Away (Out of Uniform, #5)",Annabeth Albert,https://www.goodreads.com/book/show/37544729-squared-away,566.0,4.01,"{""m m romance"": null, ""romance"": null, ""military fiction"": null, ""contemporary"": null, ""audiobook"": null, ""lgbt"": null, ""contemporary romance"": null, ""queer"": null, ""fiction"": null, ""gay"": null}",2026-03-21,success
Murder Takes the High Road,Josh Lanyon,https://www.goodreads.com/book/show/25825973-murder-takes-the-high-road,447.0,3.89,"{""mystery"": null, ""m m romance"": null, ""romance"": null, ""contemporary"": null, ""audiobook"": null, ""lgbt"": null, ""crime"": null, ""fiction"": null, ""queer"": null, ""mystery thriller"": null}",2026-03-21,success
"Riven (Riven, #1)",Roan Parrish,https://www.goodreads.com/book/show/36135552-riven,713.0,4.01,"{""m m romance"": null, ""romance"": null, ""contemporary"": null, ""lgbt"": null, ""audiobook"": null, ""music"": null, ""contemporary romance"": null, ""musicians"": null, ""queer"": null, ""fiction"": null}",2026-03-21,success
"Trick Play (Fake Boyfriend, #2)",Eden Finley,https://www.goodreads.com/book/show/39863941-trick-play,1764.0,4.12,"{""m m romance"": null, ""romance"": null, ""sports"": null, ""sports romance"": null, ""contemporary"": null, ""lgbt"": null, ""fake dating"": null, ""audiobook"": null, ""contemporary romance"": null, ""queer"": null}",2026-03-21,success
"Balefire (Whyborne & Griffin, #10)",Jordan L. Hawk,https://www.goodreads.com/book/show/40281878-balefire,253.0,4.42,"{""fantasy"": null, ""historical"": null, ""paranormal"": null, ""m m romance"": null, ""romance"": null, ""horror"": null, ""magic"": null, ""historical fiction"": null, ""mystery"": null, ""lgbt"": null}",2026-03-21,success
His Cocky Valet (Undue Arrogance #1),Cole McCade,https://www.goodreads.com/book/show/40107125-his-cocky-valet,622.0,3.72,"{""romance"": null, ""m m romance"": null, ""contemporary"": null, ""bdsm"": null, ""lgbt"": null, ""audiobook"": null, ""contemporary romance"": null, ""queer"": null, ""gay"": null, ""erotica"": null}",2026-03-21,success
