book_title,author,goodreads_url,reviews_count,avg_rating,shelves,date_scraped,status
"Don't Call Me Cupcake (The Holloway Girls, #1)",Tara Sheets,https://www.goodreads.com/book/show/35939628-don-t-call-me-cupcake,159.0,3.91,"{""romance"": null, ""contemporary romance"": null, ""contemporary"": null, ""magic"": null, ""fantasy"": null, ""paranormal"": null, ""audiobook"": null, ""chick lit"": null, ""humor"": null, ""fiction"": null}",2026-03-21,success
"Never Dare a Wicked Earl (Infamous Lords, #1)",Renee Ann Miller,https://www.goodreads.com/book/show/35141132-never-dare-a-wicked-earl,198.0,3.89,"{""historical romance"": null, ""romance"": null, ""historical"": null, ""historical fiction"": null, ""regency"": null, ""adult"": null, ""audiobook"": null, ""victorian"": null, ""regency romance"": null, ""fiction"": null}",2026-03-21,success
One Match Fire,Lissa Linden,https://www.goodreads.com/book/show/37315103-one-match-fire,21.0,3.79,"{""romance"": null, ""contemporary"": null, ""contemporary romance"": null, ""erotica"": null}",2026-03-21,success
"Dangerous (The Outcasts, #1)",Minerva Spencer,https://www.goodreads.com/book/show/36337268-dangerous,444.0,3.95,"{""historical romance"": null, ""romance"": null, ""historical"": null, ""historical fiction"": null, ""regency"": null, ""marriage of convenience"": null, ""audiobook"": null, ""regency romance"": null, ""fiction"": null, ""adventure"": null}",2026-03-21,success
"Forbidden by Faith (Forbidden Love, #1)",Negeen Papehn,https://www.goodreads.com/book/show/36690851-forbidden-by-faith,51.0,4.11,"{""romance"": null, ""audiobook"": null, ""contemporary"": null, ""forbidden love"": null}",2026-03-21,success
"Never Deceive a Viscount (Infamous Lords, #2)",Renee Ann Miller,https://www.goodreads.com/book/show/36183313-never-deceive-a-viscount,143.0,4.06,"{""historical romance"": null, ""romance"": null, ""historical"": null, ""historical fiction"": null, ""adult"": null, ""regency romance"": null, ""regency"": null, ""audiobook"": null, ""humor"": null, ""fiction"": null}",2026-03-21,success
"The Devilish Duke (Saints & Scoundrels, #1)",Maddison Michaels,https://www.goodreads.com/book/show/36668097-the-devilish-duke,,,"{""historical romance"": null, ""romance"": null, ""historical"": null, ""audiobook"": null, ""mystery"": null, ""regency"": null, ""historical fiction"": null, ""regency romance"": null, ""marriage of convenience"": null, ""victorian"": null}",2026-03-21,success
"Catching London (Heartless Few, #1)",M.V. Ellis,https://www.goodreads.com/book/show/36244101-catching-london,125.0,3.93,"{""romance"": null, ""contemporary romance"": null, ""music"": null, ""new adult"": null, ""musicians"": null, ""humor"": null, ""contemporary"": null}",2026-03-21,success
Road to Eugenica,A.M. Rose,https://www.goodreads.com/book/show/34748077-road-to-eugenica,68.0,3.99,"{""young adult"": null, ""science fiction"": null, ""romance"": null, ""teen"": null}",2026-03-21,success
The Witch of Willow Hall,Hester Fox,https://www.goodreads.com/book/show/37007910-the-witch-of-willow-hall,1982.0,3.71,"{""historical fiction"": null, ""fantasy"": null, ""witches"": null, ""fiction"": null, ""paranormal"": null, ""gothic"": null, ""historical"": null, ""romance"": null, ""mystery"": null, ""horror"": null}",2026-03-21,success
"Hello Stranger (The Ravenels, #4)",Lisa Kleypas,https://www.goodreads.com/book/show/34379276-hello-stranger,3303.0,4.07,"{""historical romance"": null, ""romance"": null, ""historical"": null, ""historical fiction"": null, ""audiobook"": null, ""fiction"": null, ""adult"": null, ""victorian"": null, ""regency"": null, ""regency romance"": null}",2026-03-21,success
"Everything but the Earl (Wayward & Willful, #1)",Willa Ramsey,https://www.goodreads.com/book/show/40190480-everything-but-the-earl,45.0,3.77,"{""romance"": null, ""historical romance"": null, ""historical"": null, ""fiction"": null, ""historical fiction"": null}",2026-03-21,success
"The Other Miss Bridgerton (Rokesbys, #3)",Julia Quinn,https://www.goodreads.com/book/show/36137912-the-other-miss-bridgerton,4044.0,4.04,"{""romance"": null, ""historical romance"": null, ""historical"": null, ""historical fiction"": null, ""fiction"": null, ""audiobook"": null, ""regency"": null, ""adult"": null, ""regency romance"": null, ""pirates"": null}",2026-03-21,success
