book_title,author,goodreads_url,reviews_count,avg_rating,shelves
"Heated Rivalry (Game Changers, #2)",Rachel  Reid,https://www.goodreads.com/book/show/41735449-heated-rivalry,,,
"Red, White & Royal Blue",Casey McQuiston,https://www.goodreads.com/book/show/41150487-red-white-royal-blue,,,
Top Secret,Sarina Bowen,https://www.goodreads.com/book/show/45280797-top-secret,,,
"Deke (Fake Boyfriend, #3)",Eden Finley,https://www.goodreads.com/book/show/43482251-deke,,,
"Thrown to the Wolves (Big Bad Wolf, #3)",Charlie Adhara,https://www.goodreads.com/book/show/42282304-thrown-to-the-wolves,,,
"Blindsided (Fake Boyfriend, #4)",Eden Finley,https://www.goodreads.com/book/show/44528307-blindsided,,,
"Once Upon a Time (Calluvia's Royalty, #3)",Alessandra Hazard,https://www.goodreads.com/book/show/43976490-once-upon-a-time,,,
"Viper (Fallen Angel, #2)",Brooke Blaine,https://www.goodreads.com/book/show/44288396-viper,,,
"IRL: In Real Life (After Oscar, #1)",Lucy Lennox,https://www.goodreads.com/book/show/43794250-irl,,,
"Family Camp (Daddy Dearest, #1)",Eli Easton,https://www.goodreads.com/book/show/44437664-family-camp,,,
"The Gift (Love in O'Leary, #2)",May Archer,https://www.goodreads.com/book/show/43416210-the-gift,,,
"Halo (Fallen Angel, #1)",Ella Frank,https://www.goodreads.com/book/show/44107399-halo,,,
No Quick Fix (Torus Intercession #1),Mary Calmes,https://www.goodreads.com/book/show/44349918-no-quick-fix,,,
Wilde Love (Forever Wilde #6),Lucy Lennox,https://www.goodreads.com/book/show/45362841-wilde-love,,,
The Secret (Love in O'Leary #3),May Archer,https://www.goodreads.com/book/show/44538300-the-secret,,,
"King Me (Forever Wilde, #7)",Lucy Lennox,https://www.goodreads.com/book/show/49232493-king-me,,,
"Mate (Forbidden Desires, #3)",Piper Scott,https://www.goodreads.com/book/show/44044028-mate,,,
"Diamond in the Rough (Four Kings Security, #4)",Charlie Cochet,https://www.goodreads.com/book/show/41456015-diamond-in-the-rough,,,
"Any Old Diamonds (Lilywhite Boys, #1)",K.J. Charles,https://www.goodreads.com/book/show/42925241-any-old-diamonds,,,
Diplomatic Relations (Sci-Regency #4),J.L. Langley,https://www.goodreads.com/book/show/42971456-diplomatic-relations,,,
"Earth Fathers Are Weird (Earth Fathers, #1)",Lyn Gala,https://www.goodreads.com/book/show/44569467-earth-fathers-are-weird,,,
Want Me (Extracurricular Activities #1),Neve Wilder,https://www.goodreads.com/book/show/45728320-want-me,,,
"Fired Up (Fever Falls, #1)",Riley Hart,https://www.goodreads.com/book/show/43455707-fired-up,,,
"Milo (Finding Home, #2)",Lily Morton,https://www.goodreads.com/book/show/43971325-milo,,,
"Gideon (Finding Home, #3)",Lily Morton,https://www.goodreads.com/book/show/45691552-gideon,,,
Stand in Place,Mary Calmes,https://www.goodreads.com/book/show/49690431-stand-in-place,,,
The 5th Gender,G.L. Carriger,https://www.goodreads.com/book/show/44554614-the-5th-gender,,,
Looking for Trouble,Riley Hart,https://www.goodreads.com/book/show/44311835-looking-for-trouble,,,
"Firm Hand (Perfect Hands, #1)",Nora Phoenix,https://www.goodreads.com/book/show/45870445-firm-hand,,,
"Jon's Spooky Corpse Conundrum (Jon's Mysteries, #3)",A.J. Sherwood,https://www.goodreads.com/book/show/50886329-jon-s-spooky-corpse-conundrum,,,
"How to Be a Movie Star (How to Be, #2)",T.J. Klune,https://www.goodreads.com/book/show/39925990-how-to-be-a-movie-star,,,
Upside Down,N.R. Walker,https://www.goodreads.com/book/show/44292759-upside-down,,,
"Murder House (PsyCop, #10)",Jordan Castillo Price,https://www.goodreads.com/book/show/44785199-murder-house,,,
"Rough Terrain (Out of Uniform, #7)",Annabeth Albert,https://www.goodreads.com/book/show/41121276-rough-terrain,,,
"Order (Tattoos and Ties, #2)",Kindle Alexander,https://www.goodreads.com/book/show/44167287-order,,,
"Angel (Fallen Angel, #3)",Ella Frank,https://www.goodreads.com/book/show/44288397-angel,,,
Four Ever,Sloane Kennedy,https://www.goodreads.com/book/show/43599239-four-ever,,,
