book_title,author,goodreads_url,reviews_count,avg_rating,shelves,date_scraped,status
"The Long Game (Game Changers, #6)",Rachel  Reid,https://www.goodreads.com/book/show/58939872-the-long-game,,,"{""romance"": null, ""sports"": null, ""m m romance"": null, ""lgbt"": null, ""sports romance"": null, ""hockey"": null, ""contemporary"": null, ""queer"": null, ""audiobook"": null, ""fiction"": null}",2026-03-21,success
You & Me,Tal Bauer,https://www.goodreads.com/book/show/60695252-you-me,3684.0,4.45,"{""m m romance"": null, ""romance"": null, ""friends to lovers"": null, ""contemporary"": null, ""lgbt"": null, ""sports"": null, ""queer"": null, ""contemporary romance"": null, ""slow burn"": null, ""gay"": null}",2026-03-21,success
"Egotistical Puckboy (Puckboys, #1)",Eden Finley,https://www.goodreads.com/book/show/59623625-egotistical-puckboy,2700.0,4.05,"{""m m romance"": null, ""sports"": null, ""romance"": null, ""hockey"": null, ""enemies to lovers"": null, ""sports romance"": null, ""lgbt"": null, ""contemporary"": null, ""audiobook"": null, ""hockey romance"": null}",2026-03-21,success
"The Best Men (The Best Men, #1)",Sarina Bowen,https://www.goodreads.com/book/show/58790303-the-best-men,,,"{""romance"": null, ""m m romance"": null, ""contemporary"": null, ""lgbt"": null, ""enemies to lovers"": null, ""audiobook"": null, ""contemporary romance"": null, ""forced proximity"": null, ""queer"": null, ""adult"": null}",2026-03-21,success
"Iris (Mike Bravo Ops, #1)",Eden Finley,https://www.goodreads.com/book/show/59238149-iris,882.0,4.16,"{""m m romance"": null, ""romance"": null, ""military fiction"": null, ""contemporary"": null, ""lgbt"": null, ""audiobook"": null, ""enemies to lovers"": null, ""queer"": null, ""second chance"": null, ""gay"": null}",2026-03-21,success
"Master of Mayhem (Frat Wars, #2)",Saxon James,https://www.goodreads.com/book/show/59541711-master-of-mayhem,984.0,4.11,"{""m m romance"": null, ""romance"": null, ""friends to lovers"": null, ""college"": null, ""lgbt"": null, ""contemporary"": null, ""audiobook"": null, ""new adult"": null, ""college romance"": null, ""queer"": null}",2026-03-21,success
Gravity,Tal Bauer,https://www.goodreads.com/book/show/61848341-gravity,2755.0,4.06,"{""m m romance"": null, ""sports"": null, ""romance"": null, ""hockey"": null, ""sports romance"": null, ""lgbt"": null, ""contemporary"": null, ""friends to lovers"": null, ""hockey romance"": null, ""queer"": null}",2026-03-21,success
Boyfriend Goals,Riley Hart,https://www.goodreads.com/book/show/60527961-boyfriend-goals,1420.0,4.16,"{""m m romance"": null, ""romance"": null, ""friends to lovers"": null, ""contemporary"": null, ""lgbt"": null, ""queer"": null, ""contemporary romance"": null, ""audiobook"": null, ""disability"": null, ""gay"": null}",2026-03-21,success
"Irresponsible Puckboy (Puckboys, #2)",Eden Finley,https://www.goodreads.com/book/show/59623685-irresponsible-puckboy,2296.0,4.02,"{""m m romance"": null, ""friends to lovers"": null, ""sports"": null, ""romance"": null, ""hockey"": null, ""sports romance"": null, ""lgbt"": null, ""contemporary"": null, ""audiobook"": null, ""queer"": null}",2026-03-21,success
"Roommate Arrangement (Divorced Men's Club, #1)",Saxon James,https://www.goodreads.com/book/show/59442393-roommate-arrangement,1600.0,3.97,"{""m m romance"": null, ""romance"": null, ""friends to lovers"": null, ""contemporary"": null, ""lgbt"": null, ""audiobook"": null, ""forced proximity"": null, ""queer"": null, ""contemporary romance"": null, ""gay"": null}",2026-03-21,success
"Something Fabulous (Something Fabulous, #1)",Alexis  Hall,https://www.goodreads.com/book/show/58377135-something-fabulous,2283.0,3.58,"{""romance"": null, ""historical"": null, ""historical fiction"": null, ""lgbt"": null, ""queer"": null, ""historical romance"": null, ""m m romance"": null, ""fiction"": null, ""audiobook"": null, ""adult"": null}",2026-03-21,success
Secret Service,Tal Bauer,https://www.goodreads.com/book/show/61263260-secret-service,953.0,4.37,"{""m m romance"": null, ""romance"": null, ""lgbt"": null, ""contemporary"": null, ""suspense"": null, ""mystery"": null, ""romantic suspense"": null, ""politics"": null, ""thriller"": null, ""queer"": null}",2026-03-21,success
"Rookie Move (Playing for Keeps, #1)",Riley Hart,https://www.goodreads.com/book/show/61032226-rookie-move,659.0,4.08,"{""m m romance"": null, ""sports"": null, ""romance"": null, ""sports romance"": null, ""friends to lovers"": null, ""contemporary"": null, ""lgbt"": null, ""football"": null, ""queer"": null, ""m m sports romance"": null}",2026-03-21,success
"Headcase (Necessary Evils, #4)",Onley James,https://www.goodreads.com/book/show/59442558-headcase,1306.0,4.22,"{""m m romance"": null, ""romance"": null, ""dark romance"": null, ""dark"": null, ""contemporary"": null, ""lgbt"": null, ""bdsm"": null, ""crime"": null, ""audiobook"": null, ""queer"": null}",2026-03-21,success
Davo,N.R. Walker,https://www.goodreads.com/book/show/60676146-davo,696.0,4.27,"{""m m romance"": null, ""romance"": null, ""contemporary"": null, ""audiobook"": null, ""lgbt"": null, ""novella"": null, ""australia"": null, ""queer"": null, ""contemporary romance"": null, ""gay"": null}",2026-03-21,success
The Kite (The Milvus Files #1),N.R. Walker,https://www.goodreads.com/book/show/61278222-the-kite,553.0,4.19,"{""m m romance"": null, ""enemies to lovers"": null, ""romance"": null, ""contemporary"": null, ""military fiction"": null, ""lgbt"": null, ""crime"": null, ""audiobook"": null, ""mystery"": null, ""suspense"": null}",2026-03-21,success
Strings Attached,Riley Hart,https://www.goodreads.com/book/show/59595426-strings-attached,361.0,4.08,"{""m m romance"": null, ""romance"": null, ""contemporary"": null, ""lgbt"": null, ""audiobook"": null, ""contemporary romance"": null, ""teachers"": null, ""queer"": null, ""friends to lovers"": null, ""gay"": null}",2026-03-21,success
