book_title,author,goodreads_url,reviews_count,avg_rating,shelves,date_scraped,status
Happy Place,Emily Henry,https://www.goodreads.com/book/show/61718053-happy-place,165145.0,3.94,"{""romance"": null, ""fiction"": null, ""contemporary"": null, ""audiobook"": null, ""contemporary romance"": null, ""book club"": null, ""summer"": null, ""adult"": null, ""chick lit"": null, ""summer reads"": null}",2026-03-21,success
"Love, Theoretically",Ali Hazelwood,https://www.goodreads.com/book/show/61326735-love-theoretically,87737.0,4.08,"{""romance"": null, ""contemporary"": null, ""contemporary romance"": null, ""fiction"": null, ""enemies to lovers"": null, ""audiobook"": null, ""adult"": null, ""rom com"": null, ""chick lit"": null, ""fake dating"": null}",2026-03-21,success
"Yours Truly (Part of Your World, #2)",Abby Jimenez,https://www.goodreads.com/book/show/61918816-yours-truly,104460.0,4.29,"{""romance"": null, ""audiobook"": null, ""fiction"": null, ""contemporary"": null, ""contemporary romance"": null, ""fake dating"": null, ""adult"": null, ""chick lit"": null, ""rom com"": null, ""friends to lovers"": null}",2026-03-21,success
"Secretly Yours (A Vine Mess, #1)",Tessa Bailey,https://www.goodreads.com/book/show/61109599-secretly-yours,16901.0,3.26,"{""romance"": null, ""audiobook"": null, ""contemporary"": null, ""contemporary romance"": null, ""fiction"": null, ""adult"": null, ""rom com"": null, ""chick lit"": null, ""spicy"": null, ""second chance"": null}",2026-03-21,success
Knot So Lucky (Destination Love #1),Trilina Pucci,https://www.goodreads.com/book/show/75381318-knot-so-lucky,,,"{""romance"": null, ""sports romance"": null, ""sports"": null, ""forced proximity"": null, ""contemporary romance"": null, ""why choose"": null, ""spicy"": null, ""contemporary"": null, ""smut"": null, ""football"": null}",2026-03-21,success
"Things We Hide from the Light (Knockemout, #2)",Lucy Score,https://www.goodreads.com/book/show/62022434-things-we-hide-from-the-light,34235.0,4.03,"{""romance"": null, ""contemporary romance"": null, ""contemporary"": null, ""small town romance"": null, ""fiction"": null, ""audiobook"": null, ""spicy"": null, ""forced proximity"": null, ""adult"": null, ""chick lit"": null}",2026-03-21,success
"Final Offer (Dreamland Billionaires, #3)",Lauren Asher,https://www.goodreads.com/book/show/61681786-final-offer,32032.0,4.18,"{""romance"": null, ""second chance"": null, ""friends to lovers"": null, ""contemporary romance"": null, ""contemporary"": null, ""forced proximity"": null, ""second chance romance"": null, ""billionaire romance"": null, ""spicy"": null, ""fiction"": null}",2026-03-21,success
"Practice Makes Perfect (When in Rome, #2)",Sarah       Adams,https://www.goodreads.com/book/show/61897968-practice-makes-perfect,32431.0,4.0,"{""romance"": null, ""contemporary"": null, ""audiobook"": null, ""contemporary romance"": null, ""fiction"": null, ""fake dating"": null, ""rom com"": null, ""friends to lovers"": null, ""adult"": null, ""small town romance"": null}",2026-03-21,success
"Things We Left Behind (Knockemout, #3)",Lucy Score,https://www.goodreads.com/book/show/116536542-things-we-left-behind,32394.0,4.39,"{""romance"": null, ""enemies to lovers"": null, ""contemporary romance"": null, ""contemporary"": null, ""second chance"": null, ""small town romance"": null, ""fiction"": null, ""audiobook"": null, ""spicy"": null, ""adult"": null}",2026-03-21,success
"Unfortunately Yours  (A Vine Mess, #2)",Tessa Bailey,https://www.goodreads.com/book/show/62365891-unfortunately-yours,11267.0,3.75,"{""romance"": null, ""contemporary romance"": null, ""contemporary"": null, ""audiobook"": null, ""enemies to lovers"": null, ""marriage of convenience"": null, ""fiction"": null, ""adult"": null, ""rom com"": null, ""fake dating"": null}",2026-03-21,success
"King of Pride (Kings of Sin, #2)",Ana Huang,https://www.goodreads.com/book/show/62994279-king-of-pride,33715.0,3.91,"{""romance"": null, ""contemporary romance"": null, ""contemporary"": null, ""billionaire romance"": null, ""dark romance"": null, ""spicy"": null, ""adult"": null, ""smut"": null, ""forbidden romance"": null, ""fiction"": null}",2026-03-21,success
"The Love Wager (Mr. Wrong Number, #2)",Lynn Painter,https://www.goodreads.com/book/show/60487511-the-love-wager,15284.0,3.85,"{""romance"": null, ""friends to lovers"": null, ""audiobook"": null, ""contemporary"": null, ""contemporary romance"": null, ""fake dating"": null, ""fiction"": null, ""rom com"": null, ""adult"": null, ""chick lit"": null}",2026-03-21,success
"Highest Bidder (Salacious Players Club, #5)",Sara Cate,https://www.goodreads.com/book/show/62322599-highest-bidder,6630.0,4.02,"{""romance"": null, ""bdsm"": null, ""dark romance"": null, ""smut"": null, ""spicy"": null, ""contemporary"": null, ""contemporary romance"": null, ""erotica"": null, ""billionaire romance"": null, ""adult"": null}",2026-03-21,success
"Not in a Billion Years (True Love, #1)",Camilla Isley,https://www.goodreads.com/book/show/174186566-not-in-a-billion-years,496.0,3.76,"{""romance"": null, ""enemies to lovers"": null, ""contemporary"": null, ""chick lit"": null, ""romantic comedy"": null, ""audiobook"": null, ""contemporary romance"": null, ""billionaire romance"": null, ""fiction"": null, ""rom com"": null}",2026-03-21,success
"Jasper Vale (The Edens, #4)",Devney Perry,https://www.goodreads.com/book/show/61431600-jasper-vale,6616.0,4.09,"{""romance"": null, ""small town romance"": null, ""marriage of convenience"": null, ""fake dating"": null, ""contemporary romance"": null, ""contemporary"": null, ""forced proximity"": null, ""romantic suspense"": null, ""adult"": null, ""audiobook"": null}",2026-03-21,success
"If Only You (Bergman Brothers, #6)",Chloe Liese,https://www.goodreads.com/book/show/75677471-if-only-you,,,"{""romance"": null, ""sports romance"": null, ""sports"": null, ""friends to lovers"": null, ""contemporary romance"": null, ""contemporary"": null, ""audiobook"": null, ""fiction"": null, ""hockey"": null, ""adult"": null}",2026-03-21,success
"Georgie, All Along",Kate Clayborn,https://www.goodreads.com/book/show/60604190-georgie-all-along,8667.0,3.78,"{""romance"": null, ""fiction"": null, ""contemporary"": null, ""contemporary romance"": null, ""audiobook"": null, ""chick lit"": null, ""adult"": null, ""rom com"": null, ""adult fiction"": null, ""forced proximity"": null}",2026-03-21,success
"Powerless  (Chestnut Springs, #3)",Elsie Silver,https://www.goodreads.com/book/show/63031640-powerless,,,"{""romance"": null, ""friends to lovers"": null, ""sports romance"": null, ""contemporary romance"": null, ""small town romance"": null, ""sports"": null, ""contemporary"": null, ""hockey"": null, ""westerns"": null, ""cowboy romance"": null}",2026-03-21,success
Meet Me at the Lake,Carley Fortune,https://www.goodreads.com/book/show/61797464-meet-me-at-the-lake,33768.0,3.68,"{""romance"": null, ""summer"": null, ""fiction"": null, ""summer reads"": null, ""audiobook"": null, ""contemporary"": null, ""contemporary romance"": null, ""book club"": null, ""chick lit"": null, ""adult"": null}",2026-03-21,success
"The Love Theorem (First Comes Love, #4)",Camilla Isley,https://www.goodreads.com/book/show/123788273-the-love-theorem,690.0,3.62,"{""romance"": null, ""chick lit"": null, ""romantic comedy"": null, ""contemporary"": null, ""contemporary romance"": null, ""humor"": null, ""fiction"": null, ""audiobook"": null, ""rom com"": null, ""stem"": null}",2026-03-21,success
