book_title,author,goodreads_url,reviews_count,avg_rating,shelves,date_scraped,status
Beach Read,Emily Henry,https://www.goodreads.com/book/show/52867387-beach-read,170285.0,3.97,"{""romance"": null, ""fiction"": null, ""contemporary"": null, ""audiobook"": null, ""contemporary romance"": null, ""summer"": null, ""adult"": null, ""chick lit"": null, ""summer reads"": null, ""enemies to lovers"": null}",2026-03-21,success
"You Deserve Each Other (You Deserve Each Other, #1)",Sarah Hogle,https://www.goodreads.com/book/show/50027029-you-deserve-each-other,25013.0,3.86,"{""romance"": null, ""contemporary"": null, ""enemies to lovers"": null, ""contemporary romance"": null, ""fiction"": null, ""second chance"": null, ""adult"": null, ""rom com"": null, ""chick lit"": null, ""audiobook"": null}",2026-03-21,success
The Honey-Don't List,Christina Lauren,https://www.goodreads.com/book/show/51086670-the-honey-don-t-list,8521.0,3.49,"{""romance"": null, ""contemporary"": null, ""fiction"": null, ""audiobook"": null, ""contemporary romance"": null, ""adult"": null, ""chick lit"": null, ""rom com"": null, ""adult fiction"": null, ""enemies to lovers"": null}",2026-03-21,success
"The Happy Ever After Playlist (The Friend Zone, #2)",Abby Jimenez,https://www.goodreads.com/book/show/50208350-the-happy-ever-after-playlist,31278.0,4.17,"{""romance"": null, ""audiobook"": null, ""fiction"": null, ""contemporary"": null, ""contemporary romance"": null, ""chick lit"": null, ""adult"": null, ""rom com"": null, ""music"": null, ""friends to lovers"": null}",2026-03-21,success
If I Never Met You,Mhairi McFarlane,https://www.goodreads.com/book/show/51213487-if-i-never-met-you,7965.0,3.8,"{""romance"": null, ""contemporary"": null, ""fiction"": null, ""contemporary romance"": null, ""chick lit"": null, ""audiobook"": null, ""adult"": null, ""fake dating"": null, ""rom com"": null, ""adult fiction"": null}",2026-03-21,success
"Love Her or Lose Her (Hot & Hammered, #2)",Tessa Bailey,https://www.goodreads.com/book/show/44148563-love-her-or-lose-her,8797.0,3.6,"{""romance"": null, ""contemporary"": null, ""contemporary romance"": null, ""audiobook"": null, ""second chance"": null, ""fiction"": null, ""adult"": null, ""second chance romance"": null, ""chick lit"": null, ""rom com"": null}",2026-03-21,success
"Take a Hint, Dani Brown (The Brown Sisters, #2)",Talia Hibbert,https://www.goodreads.com/book/show/49976087-take-a-hint-dani-brown,16804.0,3.99,"{""romance"": null, ""contemporary"": null, ""fiction"": null, ""audiobook"": null, ""contemporary romance"": null, ""adult"": null, ""lgbt"": null, ""fake dating"": null, ""friends to lovers"": null, ""queer"": null}",2026-03-21,success
"Undercover Bromance (Bromance Book Club, #2)",Lyssa Kay Adams,https://www.goodreads.com/book/show/52655000-undercover-bromance,8961.0,3.86,"{""romance"": null, ""contemporary"": null, ""contemporary romance"": null, ""audiobook"": null, ""fiction"": null, ""adult"": null, ""enemies to lovers"": null, ""chick lit"": null, ""rom com"": null, ""humor"": null}",2026-03-21,success
The Worst Best Man,Mia Sosa,https://www.goodreads.com/book/show/43801254-the-worst-best-man,9985.0,3.54,"{""romance"": null, ""contemporary"": null, ""enemies to lovers"": null, ""contemporary romance"": null, ""audiobook"": null, ""fiction"": null, ""adult"": null, ""chick lit"": null, ""rom com"": null, ""forced proximity"": null}",2026-03-21,success
"Marriage on Madison Avenue (Central Park Pact, #3)",Lauren Layne,https://www.goodreads.com/book/show/52352068-marriage-on-madison-avenue,1414.0,3.78,"{""romance"": null, ""friends to lovers"": null, ""contemporary"": null, ""contemporary romance"": null, ""chick lit"": null, ""fake dating"": null, ""adult"": null, ""fiction"": null, ""marriage of convenience"": null, ""audiobook"": null}",2026-03-21,success
"Wild at Heart (Wild, #2)",K.A. Tucker,https://www.goodreads.com/book/show/53024322-wild-at-heart,6157.0,4.14,"{""romance"": null, ""contemporary"": null, ""contemporary romance"": null, ""fiction"": null, ""adult"": null, ""small town romance"": null, ""audiobook"": null, ""new adult"": null, ""chick lit"": null, ""ebooks"": null}",2026-03-21,success
Love Lettering,Kate Clayborn,https://www.goodreads.com/book/show/44792512-love-lettering,6997.0,3.68,"{""romance"": null, ""contemporary"": null, ""fiction"": null, ""contemporary romance"": null, ""audiobook"": null, ""chick lit"": null, ""adult"": null, ""adult fiction"": null, ""slow burn"": null, ""rom com"": null}",2026-03-21,success
"The Tourist Attraction (Moose Springs, Alaska, #1)",Sarah Morgenthaler,https://www.goodreads.com/book/show/43352294-the-tourist-attraction,5369.0,3.49,"{""romance"": null, ""contemporary"": null, ""fiction"": null, ""audiobook"": null, ""contemporary romance"": null, ""christmas"": null, ""chick lit"": null, ""adult"": null, ""holiday"": null, ""rom com"": null}",2026-03-21,success
Second First Impressions,Sally  Thorne,https://www.goodreads.com/book/show/45553600-second-first-impressions,10517.0,3.52,"{""romance"": null, ""contemporary"": null, ""contemporary romance"": null, ""fiction"": null, ""audiobook"": null, ""chick lit"": null, ""adult"": null, ""rom com"": null, ""friends to lovers"": null, ""adult fiction"": null}",2026-03-21,success
