book_title,author,goodreads_url,reviews_count,avg_rating,shelves
"Don't Call Me Cupcake (The Holloway Girls, #1)",Tara Sheets,https://www.goodreads.com/book/show/35939628-don-t-call-me-cupcake,,,
"Never Dare a Wicked Earl (Infamous Lords, #1)",Renee Ann Miller,https://www.goodreads.com/book/show/35141132-never-dare-a-wicked-earl,,,
One Match Fire,Lissa Linden,https://www.goodreads.com/book/show/37315103-one-match-fire,,,
"Dangerous (The Outcasts, #1)",Minerva Spencer,https://www.goodreads.com/book/show/36337268-dangerous,,,
"Forbidden by Faith (Forbidden Love, #1)",Negeen Papehn,https://www.goodreads.com/book/show/36690851-forbidden-by-faith,,,
"Never Deceive a Viscount (Infamous Lords, #2)",Renee Ann Miller,https://www.goodreads.com/book/show/36183313-never-deceive-a-viscount,,,
"The Devilish Duke (Saints & Scoundrels, #1)",Maddison Michaels,https://www.goodreads.com/book/show/36668097-the-devilish-duke,,,
"Catching London (Heartless Few, #1)",M.V. Ellis,https://www.goodreads.com/book/show/36244101-catching-london,,,
Road to Eugenica,A.M. Rose,https://www.goodreads.com/book/show/34748077-road-to-eugenica,,,
The Witch of Willow Hall,Hester Fox,https://www.goodreads.com/book/show/37007910-the-witch-of-willow-hall,,,
"Hello Stranger (The Ravenels, #4)",Lisa Kleypas,https://www.goodreads.com/book/show/34379276-hello-stranger,,,
"Everything but the Earl (Wayward & Willful, #1)",Willa Ramsey,https://www.goodreads.com/book/show/40190480-everything-but-the-earl,,,
"The Other Miss Bridgerton (Rokesbys, #3)",Julia Quinn,https://www.goodreads.com/book/show/36137912-the-other-miss-bridgerton,,,
"How to Date Your Dragon (Mystic Bayou, #1)",Molly Harper,https://www.goodreads.com/book/show/36697443-how-to-date-your-dragon,,,
From Lukov with Love,Mariana Zapata,https://www.goodreads.com/book/show/37683751-from-lukov-with-love,,,
All Your Perfects,Colleen Hoover,https://www.goodreads.com/book/show/36416865-all-your-perfects,,,
"No Tomorrow (All the Tomorrows, #1)",Carian Cole,https://www.goodreads.com/book/show/41757728-no-tomorrow,,,
Just Like Animals (Werelock Evolution #5),Hettie Ivers,https://www.goodreads.com/book/show/39934931-just-like-animals,,,
"Too Wilde to Wed (The Wildes of Lindow Castle, #2)",Eloisa James,https://www.goodreads.com/book/show/35887284-too-wilde-to-wed,,,
"I Flipping Love You (Shacking Up, #3)",Helena Hunting,https://www.goodreads.com/book/show/36048542-i-flipping-love-you,,,
"Sweet Tea and Sympathy (Southern Eclectic, #1)",Molly Harper,https://www.goodreads.com/book/show/30753667-sweet-tea-and-sympathy,,,
One Small Thing,Erin Watt,https://www.goodreads.com/book/show/35750273-one-small-thing,,,
Josh and Hazel's Guide to Not Dating,Christina Lauren,https://www.goodreads.com/book/show/40578926-josh-and-hazel-s-guide-to-not-dating,,,
"Barbarous (The Outcasts, #2)",Minerva Spencer,https://www.goodreads.com/book/show/38467487-barbarous,,,
"The Betrothed (The Betrothed, #1)",Kiera Cass,https://www.goodreads.com/book/show/36071008-the-betrothed,,,
"With This Man (This Man, #4)",Jodi Ellen Malpas,https://www.goodreads.com/book/show/36233827-with-this-man,,,
"Stud (One Wild Wish, #2)",Kelly Siskind,https://www.goodreads.com/book/show/36605329-stud,,,
"The Ones Who Got Away (The Ones Who Got Away, #1)",Roni Loren,https://www.goodreads.com/book/show/34569847-the-ones-who-got-away,,,
"The One You Can't Forget (The Ones Who Got Away, #2)",Roni Loren,https://www.goodreads.com/book/show/36568029-the-one-you-can-t-forget,,,
"The Newlyweds (Cake, #4)",J. Bengtsson,https://www.goodreads.com/book/show/38186117-the-newlyweds,,,
Love Game (Love Games #1),Maggie Wells,https://www.goodreads.com/book/show/35023962-love-game,,,
The Real,Kate  Stewart,https://www.goodreads.com/book/show/37767019-the-real,,,
"The Governess Game (Girl Meets Duke, #2)",Tessa Dare,https://www.goodreads.com/book/show/36111620-the-governess-game,,,
"More or Less a Marchioness (The Somerset Sisters, #1)",Anna Bradley,https://www.goodreads.com/book/show/35150330-more-or-less-a-marchioness,,,
Dear Aaron,Mariana Zapata,https://www.goodreads.com/book/show/35404657-dear-aaron,,,
"All Your Perfects (Hopeless, #3)",Colleen Hoover,https://www.goodreads.com/book/show/38926487-all-your-perfects,,,
"Cracked Kingdom (The Royals, #5)",Erin Watt,https://www.goodreads.com/book/show/34705684-cracked-kingdom,,,
Someone Else's Ocean,Kate  Stewart,https://www.goodreads.com/book/show/35660213-someone-else-s-ocean,,,
Lady Rogue (The Royal Rewards #3),Theresa Romain,https://www.goodreads.com/book/show/35889106-lady-rogue,,,
Fight or Flight,Samantha Young,https://www.goodreads.com/book/show/36579299-fight-or-flight,,,
Now That You Mention It,Kristan Higgins,https://www.goodreads.com/book/show/35140629-now-that-you-mention-it,,,
"Ain't She a Peach (Southern Eclectic, #2)",Molly Harper,https://www.goodreads.com/book/show/36373506-ain-t-she-a-peach,,,
"Long Shot (Hoops, #1)",Kennedy Ryan,https://www.goodreads.com/book/show/30555412-long-shot,,,
More Than Words: A Love Story,Mia Sheridan,https://www.goodreads.com/book/show/36347160-more-than-words,,,
Undefeated (Undefeated #1),Stuart Reardon,https://www.goodreads.com/book/show/36571304-undefeated,,,
Love and Other Words,Christina Lauren,https://www.goodreads.com/book/show/36206591-love-and-other-words,,,
All We Ever Wanted,Emily Giffin,https://www.goodreads.com/book/show/36344555-all-we-ever-wanted,,,
Cake at Midnight,Jessie L. Star,https://www.goodreads.com/book/show/36271832-cake-at-midnight,,,
Freezing,Tarrah Anders,https://www.goodreads.com/book/show/35228712-freezing,,,
Free to Breathe,K.L. Shandwick,https://www.goodreads.com/book/show/38093811-free-to-breathe,,,
An Outlaw Valentine,Kathryn C. Kelly,https://www.goodreads.com/book/show/38317432-an-outlaw-valentine,,,
"Wanderlust (From Paris with Love, #1)",Lauren Blakely,https://www.goodreads.com/book/show/35791514-wanderlust,,,
If I'd Known,Paige P. Horne,https://www.goodreads.com/book/show/37509275-if-i-d-known,,,
"Hunter (Hunting Her, #1)",Eden Summers,https://www.goodreads.com/book/show/36793989-hunter,,,
Photographer's Dream,Ronder Scott,https://www.goodreads.com/book/show/38606901-photographer-s-dream,,,
Every Breath You Take (Redeeming Love #2),J.E.  Parker,https://www.goodreads.com/book/show/36869297-every-breath-you-take,,,
Breathing In Autumn,Ava Deniz,https://www.goodreads.com/book/show/24923773-breathing-in-autumn,,,
"Somebody's Monster (Stardust, #1)",Beau Van Dalen,https://www.goodreads.com/book/show/39995271-somebody-s-monster,,,
On the Edge of Daylight,Giselle Beaumont,https://www.goodreads.com/book/show/40091290-on-the-edge-of-daylight,,,
The Huntress,Amy Bean,https://www.goodreads.com/book/show/41818114-the-huntress,,,
"Only You (Duke of Rutland, #3)",Elizabeth St. Michel,https://www.goodreads.com/book/show/37885189-only-you,,,
Irresistible in Idaho (At the Altar #15.5),Keira K. Barton,https://www.goodreads.com/book/show/40678592-irresistible-in-idaho,,,
"Swordheart (Swordheart, #1)",T. Kingfisher,https://www.goodreads.com/book/show/42747739-swordheart,,,
"Fixed Forever (Fixed, #6)",Laurelin Paige,https://www.goodreads.com/book/show/36042937-fixed-forever,,,
"Mute (Dragon Runners, #1)",M.L. Nystrom,https://www.goodreads.com/book/show/37662640-mute,,,
The Night Manager,Tarrah Anders,https://www.goodreads.com/book/show/37804930-the-night-manager,,,
Exhale and Move On,K.L. Shandwick,https://www.goodreads.com/book/show/37678696-exhale-and-move-on,,,
Dane's Storm,Mia Sheridan,https://www.goodreads.com/book/show/38884649-dane-s-storm,,,
Disgrace,Brittainy C. Cherry,https://www.goodreads.com/book/show/40659166-disgrace,,,
"Light of My Heart (Duke of Rutland, #2)",Elizabeth St. Michel,https://www.goodreads.com/book/show/36194921-light-of-my-heart,,,
Crossing the Line,Simone Elkeles,https://www.goodreads.com/book/show/35270752-crossing-the-line,,,
Her Real Man,Natalina Reis,https://www.goodreads.com/book/show/35654839-her-real-man,,,
"After the Wedding (The Worth Saga, #2)",Courtney Milan,https://www.goodreads.com/book/show/22817537-after-the-wedding,,,
