book_title,author,goodreads_url,reviews_count,avg_rating,shelves,date_scraped,status
"All the Cuts and Scars We Hide (From the Ashes, #1)",Garry Michael,https://www.goodreads.com/book/show/57178880-all-the-cuts-and-scars-we-hide,159.0,4.07,"{""m m romance"": null, ""romance"": null, ""military fiction"": null, ""mental health"": null, ""contemporary"": null, ""lgbt"": null, ""spicy"": null, ""audiobook"": null, ""contemporary romance"": null, ""military romance"": null}",2026-03-21,success
"Cry Wolf (Big Bad Wolf, #5)",Charlie Adhara,https://www.goodreads.com/book/show/53993608-cry-wolf,1135.0,4.46,"{""romance"": null, ""mystery"": null, ""paranormal"": null, ""m m romance"": null, ""fantasy"": null, ""shapeshifters"": null, ""lgbt"": null, ""audiobook"": null, ""urban fantasy"": null, ""crime"": null}",2026-03-21,success
Roommate (Vino & Veritas),Sarina Bowen,https://www.goodreads.com/book/show/56152409-roommate,1863.0,4.05,"{""romance"": null, ""m m romance"": null, ""contemporary"": null, ""lgbt"": null, ""audiobook"": null, ""contemporary romance"": null, ""queer"": null, ""friends to lovers"": null, ""fiction"": null, ""adult"": null}",2026-03-21,success
"The Murder Between Us (A Noah & Cole Thriller, #1)",Tal Bauer,https://www.goodreads.com/book/show/56786433-the-murder-between-us,1129.0,4.23,"{""m m romance"": null, ""mystery"": null, ""romance"": null, ""contemporary"": null, ""crime"": null, ""thriller"": null, ""lgbt"": null, ""suspense"": null, ""romantic suspense"": null, ""queer"": null}",2026-03-21,success
"Goal Lines & First Times (CU Hockey, #3)",Eden Finley,https://www.goodreads.com/book/show/56225260-goal-lines-first-times,1739.0,4.05,"{""m m romance"": null, ""romance"": null, ""sports"": null, ""sports romance"": null, ""hockey"": null, ""college"": null, ""lgbt"": null, ""contemporary"": null, ""audiobook"": null, ""new adult"": null}",2026-03-21,success
"Break Point (Break Point, #1)",Garry Michael,https://www.goodreads.com/book/show/57178881-break-point,,,"{""m m romance"": null, ""sports"": null, ""second chance"": null, ""romance"": null, ""lgbt"": null, ""m m sports romance"": null, ""contemporary"": null}",2026-03-21,success
Beautifully Unexpected,Lily Morton,https://www.goodreads.com/book/show/58324873-beautifully-unexpected,710.0,4.38,"{""m m romance"": null, ""romance"": null, ""contemporary"": null, ""friends to lovers"": null, ""humor"": null, ""lgbt"": null, ""contemporary romance"": null, ""slow burn"": null, ""queer"": null, ""m m contemporary"": null}",2026-03-21,success
Dearest Milton James,N.R. Walker,https://www.goodreads.com/book/show/58851852-dearest-milton-james,859.0,4.44,"{""m m romance"": null, ""romance"": null, ""contemporary"": null, ""humor"": null, ""lgbt"": null, ""audiobook"": null, ""mystery"": null, ""queer"": null, ""contemporary romance"": null, ""adult"": null}",2026-03-21,success
"The Jock (The Team, #1)",Tal Bauer,https://www.goodreads.com/book/show/57640563-the-jock,1382.0,4.26,"{""m m romance"": null, ""sports"": null, ""romance"": null, ""sports romance"": null, ""contemporary"": null, ""lgbt"": null, ""college"": null, ""football"": null, ""queer"": null, ""new adult"": null}",2026-03-21,success
"Line Mates & Study Dates (CU Hockey, #4)",Eden Finley,https://www.goodreads.com/book/show/57537914-line-mates-study-dates,1589.0,4.19,"{""m m romance"": null, ""romance"": null, ""sports"": null, ""sports romance"": null, ""hockey"": null, ""college"": null, ""lgbt"": null, ""contemporary"": null, ""audiobook"": null, ""new adult"": null}",2026-03-21,success
"Role Model (Game Changers, #5)",Rachel  Reid,https://www.goodreads.com/book/show/54561591-role-model,,,"{""romance"": null, ""sports"": null, ""m m romance"": null, ""lgbt"": null, ""hockey"": null, ""sports romance"": null, ""contemporary"": null, ""audiobook"": null, ""queer"": null, ""fiction"": null}",2026-03-21,success
"Right as Raine (Aster Valley, #1)",Lucy Lennox,https://www.goodreads.com/book/show/56326586-right-as-raine,720.0,4.25,"{""m m romance"": null, ""sports"": null, ""romance"": null, ""friends to lovers"": null, ""contemporary"": null, ""sports romance"": null, ""lgbt"": null, ""football"": null, ""audiobook"": null, ""contemporary romance"": null}",2026-03-21,success
"Mystery at the Masquerade (Secrets and Scrabble, #3)",Josh Lanyon,https://www.goodreads.com/book/show/53291914-mystery-at-the-masquerade,292.0,4.15,"{""mystery"": null, ""m m romance"": null, ""romance"": null, ""contemporary"": null, ""cozy mystery"": null, ""audiobook"": null, ""lgbt"": null, ""crime"": null, ""cozy"": null, ""fiction"": null}",2026-03-21,success
"Jon's Boom Shaka Laka Problem (Jon’s Mysteries, #4)",A.J. Sherwood,https://www.goodreads.com/book/show/56125011-jon-s-boom-shaka-laka-problem,298.0,4.41,"{""paranormal"": null, ""m m romance"": null, ""mystery"": null, ""romance"": null, ""fantasy"": null, ""urban fantasy"": null, ""audiobook"": null, ""contemporary"": null, ""lgbt"": null, ""crime"": null}",2026-03-21,success
"An Echo in the Sorrow (Soulbound, #6)",Hailey Turner,https://www.goodreads.com/book/show/56394746-an-echo-in-the-sorrow,401.0,4.54,"{""fantasy"": null, ""urban fantasy"": null, ""m m romance"": null, ""paranormal"": null, ""shapeshifters"": null, ""romance"": null, ""magic"": null, ""vampires"": null, ""audiobook"": null, ""dragons"": null}",2026-03-21,success
"Bad Intentions (Intentions Duet, #1)",Ella Frank,https://www.goodreads.com/book/show/57634418-bad-intentions,662.0,4.17,"{""m m romance"": null, ""romance"": null, ""contemporary"": null, ""audiobook"": null, ""lgbt"": null, ""contemporary romance"": null, ""fiction"": null, ""music"": null, ""musicians"": null, ""adult"": null}",2026-03-21,success
