book_title,author,goodreads_url,reviews_count,avg_rating,shelves
"Super Hot Wingman (The Best Men, #0.5)",Sarina Bowen,https://www.goodreads.com/book/show/59947359-super-hot-wingman,,,
Lost in Amber (RELIC #4),Maz Maddox,https://www.goodreads.com/book/show/60548988-lost-in-amber,,,
The Sceptic (Arcana Books #1),Lily Morton,https://www.goodreads.com/book/show/61075634-the-sceptic,,,
"The Movie-Town Murders (The Art of Murder, #5)",Josh Lanyon,https://www.goodreads.com/book/show/61190289-the-movie-town-murders,,,
Too Like the Lightning,Travis Beaudoin,https://www.goodreads.com/book/show/60254707-too-like-the-lightning,,,
"Roman (Vampire's Mate, #1)",Grae Bryan,https://www.goodreads.com/book/show/60574911-roman,,,
"As the Tallgrass Grows (Wild Ones, #4)",Rachel Ember,https://www.goodreads.com/book/show/58994011-as-the-tallgrass-grows,,,
"The Hitman's Guide to Righting Wrongs While Causing Mayhem (The Hitman's Guide, #5)",Alice  Winters,https://www.goodreads.com/book/show/60393317-the-hitman-s-guide-to-righting-wrongs-while-causing-mayhem,,,
Dearly Despised (Calluvia's Royalty #5),Alessandra Hazard,https://www.goodreads.com/book/show/61132554-dearly-despised,,,
"Learning Curve (Franklin U, #6)",N.R. Walker,https://www.goodreads.com/book/show/61367886-learning-curve,,,
"Bet You (Franklin U, #4)",Neve Wilder,https://www.goodreads.com/book/show/61426727-bet-you,,,
Mountain Topped,K.M. Neuhold,https://www.goodreads.com/book/show/59513048-mountain-topped,,,
"Soren (Vampire's Mate, #2)",Grae Bryan,https://www.goodreads.com/book/show/61281117-soren,,,
"The Magnolia Murders (Sawyer and Royce: Matrimony and Mayhem, #1)",Aimee Nicole Walker,https://www.goodreads.com/book/show/59965930-the-magnolia-murders,,,
"In Step (Painted Bay, #3)",Jay Hogan,https://www.goodreads.com/book/show/58931220-in-step,,,
"The Dating Disaster (Franklin U, #2)",Saxon James,https://www.goodreads.com/book/show/61277555-the-dating-disaster,,,
Christmas on Firefly Hill,Garrett Leigh,https://www.goodreads.com/book/show/63067051-christmas-on-firefly-hill,,,
"Because of Ben (Star Crossed, #2)",Lisa Henry,https://www.goodreads.com/book/show/58962290-because-of-ben,,,
"Make Me Fall (Water, Air, Earth, Fire, #2)",Riley Nash,https://www.goodreads.com/book/show/60577344-make-me-fall,,,
"Devil's Mark (The Reckless Damned, #1)",Lark Taylor,https://www.goodreads.com/book/show/61251043-devil-s-mark,,,
"Inbetweeners (Lost and Found, #3)",Barbara Elsborg,https://www.goodreads.com/book/show/59755349-inbetweeners,,,
"Lucien (Vampire's Mate, #3)",Grae Bryan,https://www.goodreads.com/book/show/62076648-lucien,,,
The Bright and Hungry Future of Hawks (More Heat Than the Sun #9),John  Wiltshire,https://www.goodreads.com/book/show/60391424-the-bright-and-hungry-future-of-hawks,,,
A Tent for Two (Melbourne Boys #1),Milana Spencer,https://www.goodreads.com/book/show/62905244-a-tent-for-two,,,
Two Tribes,Fearne Hill,https://www.goodreads.com/book/show/61441085-two-tribes,,,
Infinite Bond,L.  Rose,https://www.goodreads.com/book/show/60634225-infinite-bond,,,
"Promote (Shattered Pawns, #3)",Jennifer Cody,https://www.goodreads.com/book/show/60072059-promote,,,
"Kiss Marry Kill (Dr. Maxwell Thornton Murder Mysteries, #6)",S.C. Wynne,https://www.goodreads.com/book/show/59846921-kiss-marry-kill,,,
"Daniel Cabot Puts Down Roots (The Cabots, #3)",Cat Sebastian,https://www.goodreads.com/book/show/62972185-daniel-cabot-puts-down-roots,,,
"Devil May Care (The Reckless Damned, #2)",Lark Taylor,https://www.goodreads.com/book/show/61396219-devil-may-care,,,
"Playing Games (Franklin U, #1)",Riley Hart,https://www.goodreads.com/book/show/61279261-playing-games,,,
"Switch-Hitter (Hit and Run, #1)",E.M. Lindsey,https://www.goodreads.com/book/show/60279989-switch-hitter,,,
"Agents of Winter (The Agency, #2)",Ada Maria Soto,https://www.goodreads.com/book/show/62668629-agents-of-winter,,,
"Love, Hate & Clickbait",Liz Bowery,https://www.goodreads.com/book/show/58648055-love-hate-clickbait,,,
"Pool of Dreams (Pool of Dreams, #1)",Sam Burns,https://www.goodreads.com/book/show/61633578-pool-of-dreams,,,
The Dragon Experiment (Here Be Dragons #3),Louisa Masters,https://www.goodreads.com/book/show/59655480-the-dragon-experiment,,,
Imperfect Illusions,Vanora Lawless,https://www.goodreads.com/book/show/60645529-imperfect-illusions,,,
"Beautiful Hearts (Rainbow Redemption, #1)",Jax Calder,https://www.goodreads.com/book/show/63201125-beautiful-hearts,,,
Clean Start at Forty-Seven (Forty-Seven Duology #1),Nora Phoenix,https://www.goodreads.com/book/show/59422661-clean-start-at-forty-seven,,,
"Alexi (Tangled Tentacles, #1)",J.P. Sayle,https://www.goodreads.com/book/show/60449545-alexi,,,
"Fluke and the Frontier Farce (The Fantastic Fluke, #4)",Sam Burns,https://www.goodreads.com/book/show/59934133-fluke-and-the-frontier-farce,,,
The Sinner's Gamble (The Perdition Club #1),Merry Farmer,https://www.goodreads.com/book/show/61219264-the-sinner-s-gamble,,,
His Last Christmas in London (Con Riley's Christmas Collection #1),Con Riley,https://www.goodreads.com/book/show/62218401-his-last-christmas-in-london,,,
Storm Warrior (The Weavers Circle #5),Jocelynn Drake,https://www.goodreads.com/book/show/59705527-storm-warrior,,,
How to Date a Dragon (Here Be Dragons #0.5),Louisa Masters,https://www.goodreads.com/book/show/59993693-how-to-date-a-dragon,,,
"Lock, Stock and Peril (Lindenshaw Mysteries #6)",Charlie Cochrane,https://www.goodreads.com/book/show/61217458-lock-stock-and-peril,,,
"Aleron (Chosen Champions, #3)",Macy Blake,https://www.goodreads.com/book/show/59338766-aleron,,,
Kiss and Cry,Keira Andrews,https://www.goodreads.com/book/show/59743758-kiss-and-cry,,,
Cloud Ten (Nailed It! #1),Fearne Hill,https://www.goodreads.com/book/show/63843662-cloud-ten,,,
"Rules, Schmules! (Fast Break, #1)",Becca Seymour,https://www.goodreads.com/book/show/60734699-rules-schmules,,,
"Mr. Romance (Franklin U, #3)",Louisa Masters,https://www.goodreads.com/book/show/61295251-mr-romance,,,
"Killer Honeymoon (Sawyer and Royce: Matrimony and Mayhem, #3)",Aimee Nicole Walker,https://www.goodreads.com/book/show/59989452-killer-honeymoon,,,
Never Have I Evan (Games We Play #1),D.J. Jamison,https://www.goodreads.com/book/show/60090628-never-have-i-evan,,,
Hot Pursuit (The Hot Cannolis #3),Eli Easton,https://www.goodreads.com/book/show/61300866-hot-pursuit,,,
"Boi Bride (Treaty Brides, #1)",Samantha Cayto,https://www.goodreads.com/book/show/60655352-boi-bride,,,
If There's a Way (Lost Boys #2),Jessie  Walker,https://www.goodreads.com/book/show/60649230-if-there-s-a-way,,,
"A Gilded Iron Blade (San Amaro Investigations, #3)",Kai Butler,https://www.goodreads.com/book/show/58462586-a-gilded-iron-blade,,,
"Fireman's Carry (The Hot Cannolis, #0.5)",NOT A BOOK,https://www.goodreads.com/book/show/59997332-fireman-s-carry,,,
Don't You Dare (Reckless Games #1),C.E. Ricci,https://www.goodreads.com/book/show/58511930-don-t-you-dare,,,
Praiseworthy Son,Rafael Sanchez,https://www.goodreads.com/book/show/62009865-praiseworthy-son,,,
"A Snarl, a Splash, and a Shock (Lions & Tigers & Bears #2)",K.C. Wells,https://www.goodreads.com/book/show/60734704-a-snarl-a-splash-and-a-shock,,,
"Mad Love (Dangerous Daddies, #1)",April Jade,https://www.goodreads.com/book/show/60102948-mad-love,,,
Perfectly Imperfect Pixie (Perfect Pixie #1),M.J. May,https://www.goodreads.com/book/show/63210360-perfectly-imperfect-pixie,,,
"Heartbeats in a Haunted House (Hedge Witches Lonely Hearts Club, #4)",Amy Lane,https://www.goodreads.com/book/show/59919142-heartbeats-in-a-haunted-house,,,
"Nine Moons in a River of Stars: Phase One (Marrow, #1)",Xen.,https://www.goodreads.com/book/show/59774530-nine-moons-in-a-river-of-stars,,,
"Thrust (Lunar Wolves, #4)",Kiki Burrelli,https://www.goodreads.com/book/show/62819202-thrust,,,
Something Wicked,Eden Winters,https://www.goodreads.com/book/show/60404919-something-wicked,,,
Tough Luck (A-List Security #1),Annabeth Albert,https://www.goodreads.com/book/show/59515697-tough-luck,,,
"Alastair (Sons of the Fallen, #7)",Jaclyn Osborn,https://www.goodreads.com/book/show/61289309-alastair,,,
"Finding Finn (Forever Love, #2)",Charlie Novak,https://www.goodreads.com/book/show/59062090-finding-finn,,,
"Sapphire Sunset (Sapphire Cove, #1)",C. Travis Rice,https://www.goodreads.com/book/show/59435210-sapphire-sunset,,,
Pressure (Lunar Wolves #1),Kiki Burrelli,https://www.goodreads.com/book/show/60774939-pressure,,,
Last Date (Kip O'Connor Mysteries #2),S.C. Wynne,https://www.goodreads.com/book/show/59463751-last-date,,,
